window_transition,js_divergence
1992-1993->1994-1995,0.15371415192972565
1994-1995->1996-1997,0.13577251969169132
1996-1997->1998-1999,0.09971903281634648
1998-1999->2000-2001,0.0508133065548338
2000-2001->2002-2003,0.0573064884963991
2002-2003->2004-2005,0.0495139598701719
2004-2005->2006-2007,0.058743087769750645
2006-2007->2008-2009,0.0421965411300354
2008-2009->2010-2011,0.04594857596401292
2010-2011->2012-2013,0.041614985540108715
2012-2013->2014-2015,0.09100369889307292
2014-2015->2016-2017,0.09042571430945628
2016-2017->2018-2019,0.07736936028774402
2018-2019->2020-2021,0.03490019754312865
