topic,rank,artist,n_docs,pct_of_topic,total_topic_docs
0,1,Sexion d’Assaut,175,1.7438963627304436,10035
0,2,Freeze Corleone,157,1.5645241654210262,10035
0,3,Rohff,150,1.4947683109118086,10035
0,4,3010,131,1.3054309915296463,10035
0,5,JuL,128,1.27553562531141,10035
0,6,13 Block,122,1.2157448928749377,10035
0,7,Naps,114,1.1360239162929746,10035
0,8,Hayce Lemsi,110,1.096163428001993,10035
0,9,Booba,109,1.0861983059292475,10035
0,10,IAM,107,1.0662680617837568,10035
0,11,Seth Gueko,96,0.9566517189835576,10035
0,12,La Fouine,92,0.916791230692576,10035
0,13,Kaaris,92,0.916791230692576,10035
0,14,La Caution,90,0.8968609865470852,10035
0,15,Swift Guad,89,0.8868958644743398,10035
0,16,Beeby,87,0.8669656203288489,10035
0,17,Rim’K,84,0.837070254110613,10035
0,18,Kekra,81,0.8071748878923767,10035
0,19,Mac Tyer,80,0.7972097658196312,10035
0,20,Mister You,80,0.7972097658196312,10035
1,1,JuL,233,2.6465243071331215,8804
1,2,Alkpote,158,1.7946388005452067,8804
1,3,La Fouine,122,1.3857337573830077,8804
1,4,Naps,122,1.3857337573830077,8804
1,5,Hamza,113,1.283507496592458,8804
1,6,Kaaris,92,1.0449795547478418,8804
1,7,Lacrim,90,1.0222626079054975,8804
1,8,Timal,90,1.0222626079054975,8804
1,9,Seth Gueko,89,1.0109041344843255,8804
1,10,Niro,88,0.9995456610631531,8804
1,11,Booba,86,0.9768287142208087,8804
1,12,Sexion d’Assaut,81,0.9200363471149476,8804
1,13,Rohff,78,0.8859609268514312,8804
1,14,Hooss,78,0.8859609268514312,8804
1,15,Jorrdee,77,0.874602453430259,8804
1,16,Sofiane,75,0.8518855065879146,8804
1,17,Elams,74,0.8405270331667424,8804
1,18,Beeby,72,0.817810086324398,8804
1,19,GLK,69,0.7837346660608815,8804
1,20,Maes,69,0.7837346660608815,8804
2,1,JuL,243,3.2318127410559914,7519
2,2,Dadju,173,2.300837877377311,7519
2,3,Gims,150,1.9949461364543157,7519
2,4,Franglish,126,1.6757547546216254,7519
2,5,Lycos,110,1.4629605000664982,7519
2,6,Vegedream,109,1.4496608591568028,7519
2,7,Jok’Air,97,1.2900651682404574,7519
2,8,Ridsa,95,1.2634658864210666,7519
2,9,Dinos,89,1.1836680409628941,7519
2,10,KIK,88,1.1703684000531984,7519
2,11,Disiz,83,1.1038701955047212,7519
2,12,A2H,79,1.0506716318659397,7519
2,13,Still Fresh,77,1.0240723500465487,7519
2,14,KeBlack,77,1.0240723500465487,7519
2,15,Abou Debeing,71,0.9442745045883761,7519
2,16,Tsew The Kid,68,0.9043755818592897,7519
2,17,Maska,67,0.8910759409495943,7519
2,18,Therapie TAXI,66,0.8777763000398989,7519
2,19,Suzuya,65,0.8644766591302036,7519
2,20,Lefa,61,0.8112780954914217,7519
3,1,Rohff,155,2.0861372812920593,7430
3,2,Sexion d’Assaut,136,1.8304172274562585,7430
3,3,Busta Flex,114,1.5343203230148048,7430
3,4,Ol’ Kainry,101,1.3593539703903095,7430
3,5,Freeze Corleone,101,1.3593539703903095,7430
3,6,La Fouine,93,1.2516823687752354,7430
3,7,Booba,89,1.1978465679676986,7430
3,8,IAM,83,1.1170928667563929,7430
3,9,Les Sages Poètes de la Rue,81,1.0901749663526246,7430
3,10,Alkpote,80,1.0767160161507403,7430
3,11,Seth Gueko,79,1.063257065948856,7430
3,12,Neg’ Marrons,78,1.0497981157469718,7430
3,13,Disiz,74,0.9959623149394347,7430
3,14,Swift Guad,74,0.9959623149394347,7430
3,15,Sinik,73,0.9825033647375504,7430
3,16,Youssoupha,65,0.8748317631224763,7430
3,17,JuL,63,0.847913862718708,7430
3,18,Mac Tyer,55,0.7402422611036339,7430
3,19,Akhenaton,55,0.7402422611036339,7430
3,20,3010,52,0.6998654104979811,7430
4,1,JuL,417,5.765242637909581,7233
4,2,Djadja & Dinaz,101,1.3963777132586757,7233
4,3,Sadek,81,1.1198672749896308,7233
4,4,Naps,75,1.0369141435089175,7233
4,5,Vald,75,1.0369141435089175,7233
4,6,Alkpote,71,0.9816120558551085,7233
4,7,RK,70,0.9677865339416564,7233
4,8,Jack Uzi,65,0.8986589243743952,7233
4,9,Jorrdee,63,0.8710078805474907,7233
4,10,La Fouine,61,0.8433568367205861,7233
4,11,Niro,60,0.829531314807134,7233
4,12,Josman,60,0.829531314807134,7233
4,13,​DA Uzi,59,0.8157057928936817,7233
4,14,Dosseh,56,0.774229227153325,7233
4,15,PLK,55,0.7604037052398728,7233
4,16,Guizmo,54,0.7465781833264206,7233
4,17,Jarod,54,0.7465781833264206,7233
4,18,Koba LaD,54,0.7465781833264206,7233
4,19,Ninho,53,0.7327526614129684,7233
4,20,Beendo Z,52,0.7189271394995161,7233
5,1,JuL,295,4.23972405863754,6958
5,2,Lacrim,85,1.2216154067260707,6958
5,3,Naps,81,1.164127622880138,6958
5,4,La Fouine,76,1.092267893072722,6958
5,5,​DA Uzi,69,0.9916642713423398,6958
5,6,Niro,65,0.934176487496407,6958
5,7,Maes,65,0.934176487496407,6958
5,8,YL,64,0.9198045415349237,6958
5,9,Kaaris,62,0.8910606496119574,6958
5,10,Djadja & Dinaz,61,0.8766887036504742,6958
5,11,Sadek,60,0.862316757688991,6958
5,12,Seth Gueko,59,0.8479448117275079,6958
5,13,Alkpote,57,0.8192009198045416,6958
5,14,Jarod,56,0.8048289738430584,6958
5,15,PLK,55,0.7904570278815751,6958
5,16,Booba,54,0.776085081920092,6958
5,17,3010,54,0.776085081920092,6958
5,18,Rohff,53,0.7617131359586088,6958
5,19,Hooss,53,0.7617131359586088,6958
5,20,Vald,50,0.7185972980741593,6958
6,1,JuL,230,3.735585512424882,6157
6,2,Dinos,84,1.364300795842131,6157
6,3,Djadja & Dinaz,82,1.3318174435601755,6157
6,4,Lefa,77,1.2506090628552866,6157
6,5,Black M,72,1.169400682150398,6157
6,6,Gims,68,1.1044339775864869,6157
6,7,La Fouine,67,1.0881923014455093,6157
6,8,Franglish,67,1.0881923014455093,6157
6,9,A2H,63,1.0232255968815982,6157
