artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,2.671056481157429,0.8916205579307719,0,0.1480194579569145,10,"0,10,15","0.148,0.115,0.098",0.4350590687956008,generalist
La Fouine,1191,2.803211558709454,0.9357350065811656,0,0.17632241813602015,7,"0,1,2","0.176,0.092,0.081",0.32598656590936936,generalist
Rohff,1095,2.7559351217730192,0.919953744232128,7,0.16073059360730593,8,"7,0,5","0.161,0.112,0.104",0.382511415523202,generalist
Sexion d’Assaut,1023,2.5917396707574327,0.8651439561662562,7,0.20430107526881722,6,"7,0,6","0.204,0.178,0.085",0.47873900293015736,generalist
Alkpote,889,2.4379517318166815,0.8138082809798001,0,0.3577052868391451,5,"0,1,5","0.358,0.072,0.067",0.5009561304811849,moderate
Naps,854,2.3949019413486408,0.7994379078833522,1,0.3009367681498829,7,"1,8,11","0.301,0.121,0.103",0.5690866510510186,moderate
Disiz,849,2.7679453714533153,0.9239628640678093,7,0.17550058892815076,7,"7,2,6","0.176,0.085,0.079",0.3626030624245711,generalist
Swift Guad,797,2.694083597000268,0.8993071980374729,5,0.15307402760351319,7,"5,3,6","0.153,0.136,0.095",0.4292973651170507,generalist
IAM,745,2.466570047151275,0.8233613093285723,4,0.22416107382550335,8,"4,6,3","0.224,0.154,0.095",0.5537583892589767,generalist
Sinik,744,2.666822038118023,0.8902070661188409,6,0.14381720430107528,9,"6,3,12","0.144,0.120,0.093",0.4395161290300604,generalist
Lacrim,732,2.8277531295746314,0.9439271841939075,10,0.12431693989071038,9,"10,1,0","0.124,0.112,0.071",0.31133879781265106,generalist
Sadek,721,2.796442864101111,0.9334755608128985,1,0.1317614424410541,8,"1,0,10","0.132,0.093,0.089",0.3501386962534504,generalist
Niro,713,2.824022849521388,0.9426819861212448,10,0.1332398316970547,8,"10,0,3","0.133,0.118,0.072",0.3185834502087861,generalist
Mac Tyer,704,2.852004194665435,0.9520223885968141,5,0.11221590909090909,10,"5,6,0","0.112,0.088,0.084",0.2934659090894421,generalist
Gims,703,2.554549610102189,0.8527296089351789,2,0.2901849217638691,5,"2,16,12","0.290,0.094,0.070",0.46863442389523874,generalist
Booba,676,2.6712895851605687,0.8916983699586348,5,0.14792899408284024,8,"5,0,7","0.148,0.135,0.120",0.44674556212794414,generalist
Alonzo,666,2.8385749607512856,0.9475396001872152,1,0.12762762762762764,7,"1,8,11","0.128,0.098,0.089",0.312012012010452,generalist
