window_transition,js_divergence
1992-1993->1994-1995,0.1844027011265401
1994-1995->1996-1997,0.11536024682349016
1996-1997->1998-1999,0.0810313365476643
1998-1999->2000-2001,0.09329077422037055
2000-2001->2002-2003,0.07377739456451222
2002-2003->2004-2005,0.07618399765709204
2004-2005->2006-2007,0.08068000898523603
2006-2007->2008-2009,0.07639934520716714
2008-2009->2010-2011,0.06816213494673054
2010-2011->2012-2013,0.05726220486903976
2012-2013->2014-2015,0.12143905078238232
2014-2015->2016-2017,0.1277887830863736
2016-2017->2018-2019,0.09485883893398446
2018-2019->2020-2021,0.0859076559588698
