topic,rank,artist,n_docs,pct_of_topic,total_topic_docs
0,1,JuL,426,4.631441617742987,9198
0,2,Alkpote,318,3.457273320287019,9198
0,3,La Fouine,210,2.28310502283105,9198
0,4,Seth Gueko,184,2.000434877147206,9198
0,5,Sexion d’Assaut,182,1.97869101978691,9198
0,6,Guizmo,142,1.5438138725809958,9198
0,7,Mister You,142,1.5438138725809958,9198
0,8,Rohff,123,1.3372472276581866,9198
0,9,Jarod,123,1.3372472276581866,9198
0,10,Hayce Lemsi,116,1.2611437268971515,9198
0,11,Sofiane,109,1.1850402261361164,9198
0,12,Hooss,100,1.0871928680147858,9198
0,13,Kaaris,98,1.06544901065449,9198
0,14,Booba,91,0.989345509893455,9198
0,15,Jack Uzi,91,0.989345509893455,9198
0,16,Niro,84,0.91324200913242,9198
0,17,Zikxo,79,0.8588823657316808,9198
0,18,Gradur,75,0.8153946510110893,9198
0,19,Kekra,70,0.76103500761035,9198
0,20,Ol’ Kainry,70,0.76103500761035,9198
1,1,Naps,257,2.881165919282511,8920
1,2,JuL,218,2.4439461883408073,8920
1,3,Hamza,178,1.9955156950672646,8920
1,4,Leto,175,1.961883408071749,8920
1,5,Ninho,147,1.647982062780269,8920
1,6,Niska,138,1.547085201793722,8920
1,7,So La Lune,136,1.5246636771300448,8920
1,8,Serane,130,1.4573991031390134,8920
1,9,La Fouine,109,1.2219730941704037,8920
1,10,Luv Resval,109,1.2219730941704037,8920
1,11,Maes,108,1.2107623318385652,8920
1,12,Koba LaD,104,1.1659192825112108,8920
1,13,Zola,101,1.1322869955156951,8920
1,14,Kaaris,100,1.1210762331838564,8920
1,15,Gazo,100,1.1210762331838564,8920
1,16,Guy2Bezbar,97,1.0874439461883407,8920
1,17,Sadek,95,1.0650224215246635,8920
1,18,GLK,94,1.053811659192825,8920
1,19,13 Block,93,1.0426008968609866,8920
1,20,Kerchak,87,0.9753363228699552,8920
2,1,Gims,204,2.2960045019696116,8885
2,2,JuL,202,2.273494653911086,8885
2,3,Dadju,121,1.361845807540799,8885
2,4,Tsew The Kid,112,1.2605514912774338,8885
2,5,Therapie TAXI,111,1.249296567248171,8885
2,6,KIK,99,1.1142374788970173,8885
2,7,La Fouine,97,1.0917276308384918,8885
2,8,Dinos,95,1.0692177827799663,8885
2,9,Vegedream,82,0.9229037703995498,8885
2,10,Black M,79,0.8891389983117615,8885
2,11,Maska,79,0.8891389983117615,8885
2,12,Wallen,78,0.8778840742824985,8885
2,13,Soprano,76,0.855374226223973,8885
2,14,Krisy,76,0.855374226223973,8885
2,15,Lonepsi,74,0.8328643781654474,8885
2,16,Boostee,74,0.8328643781654474,8885
2,17,Disiz,72,0.8103545301069218,8885
2,18,Georgio,68,0.7653348339898706,8885
2,19,Franglish,68,0.7653348339898706,8885
2,20,Lomepal,67,0.7540799099606078,8885
3,1,Lucio Bukowski,117,1.5573006788233728,7513
3,2,Swift Guad,108,1.4375083189138826,7513
3,3,Georgio,103,1.3709570078530549,7513
3,4,VII,98,1.3044056967922268,7513
3,5,Sinik,89,1.1846133368827365,7513
3,6,Rohff,79,1.051510714761081,7513
3,7,La Fouine,77,1.0248901903367496,7513
3,8,Lomepal,75,0.9982696659124185,7513
3,9,IAM,71,0.9450286170637562,7513
3,10,Lacraps,66,0.8784773060029283,7513
3,11,3010,64,0.8518567815785971,7513
3,12,Vald,62,0.825236257154266,7513
3,13,Sadek,60,0.7986157327299348,7513
3,14,Nekfeu,60,0.7986157327299348,7513
3,15,JuL,59,0.7853054705177692,7513
3,16,Disiz,58,0.7719952083056036,7513
3,17,Sexion d’Assaut,56,0.7453746838812725,7513
3,18,Scylla,56,0.7453746838812725,7513
3,19,Demi Portion,55,0.7320644216691069,7513
3,20,Davodka,54,0.7187541594569413,7513
4,1,VII,227,3.3804914370811616,6715
4,2,Lucio Bukowski,173,2.5763216679076693,6715
4,3,IAM,167,2.486969471332837,6715
4,4,Keny Arkana,149,2.218912881608339,6715
4,5,Manau,116,1.7274758004467612,6715
4,6,Georgio,111,1.6530156366344004,6715
4,7,Grand Corps Malade,105,1.5636634400595681,6715
4,8,Lord Esperanza,101,1.5040953090096798,6715
4,9,Oxmo Puccino,98,1.4594192107222637,6715
4,10,Kery James,96,1.4296351451973193,6715
