artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,2.786582085926881,0.9301839521931029,6,0.1038915913829048,8,"6,2,8","0.104,0.102,0.089",0.35524669909481865,generalist
La Fouine,1191,2.9156107291018314,0.9732547714094935,0,0.1015952980688497,7,"0,4,6","0.102,0.099,0.071",0.20785054575882633,generalist
Rohff,1095,2.781468169293752,0.9284768848832923,0,0.17077625570776256,8,"0,3,5","0.171,0.102,0.094",0.3542009132402381,generalist
Sexion d’Assaut,1023,2.7904846659241067,0.9314866654000464,0,0.1241446725317693,7,"0,5,3","0.124,0.123,0.091",0.3584066471145325,generalist
Alkpote,889,2.826810375994504,0.9436124853176262,12,0.11361079865016872,7,"12,13,0","0.114,0.105,0.094",0.3263779527542737,generalist
Naps,854,2.6934962925865547,0.8991111510078709,1,0.14637002341920374,8,"1,6,2","0.146,0.102,0.102",0.429391100700429,generalist
Disiz,849,2.865652973656339,0.956578462953456,0,0.16489988221436985,7,"0,14,16","0.165,0.069,0.064",0.24988221436859748,generalist
Swift Guad,797,2.784758660149699,0.9295752777153203,7,0.1355081555834379,10,"7,0,9","0.136,0.100,0.090",0.3571518193206733,generalist
IAM,745,2.618087942590952,0.8739392253784347,7,0.18389261744966443,7,"7,3,0","0.184,0.133,0.107",0.47778523489694014,generalist
Sinik,744,2.7982295353880047,0.9340719663404105,3,0.11827956989247312,10,"3,2,0","0.118,0.103,0.091",0.3431451612886067,generalist
Lacrim,732,2.9179870483953745,0.9740480062771486,2,0.09699453551912568,10,"2,6,9","0.097,0.085,0.072",0.20778688524486266,generalist
Sadek,721,2.851776066216898,0.9519462374498805,2,0.10540915395284327,9,"2,4,13","0.105,0.082,0.080",0.2956310679596872,generalist
Niro,713,2.869065159626486,0.9577174786125886,2,0.11079943899018233,8,"2,0,4","0.111,0.108,0.087",0.2786115006998694,generalist
Mac Tyer,704,2.8158889159838045,0.9399668124024885,3,0.12642045454545456,8,"3,18,0","0.126,0.119,0.087",0.3342329545437833,generalist
Gims,703,2.8050844578798073,0.9363601956833051,10,0.1379800853485064,8,"10,4,8","0.138,0.108,0.085",0.3380512091021506,generalist
Booba,676,2.6759916834159387,0.8932679689167525,18,0.17159763313609466,7,"18,0,5","0.172,0.126,0.115",0.4421597633113987,generalist
Alonzo,666,2.8749264964496013,0.9596740409111821,1,0.1021021021021021,8,"1,8,2","0.102,0.089,0.084",0.27852852852713605,generalist
Vald,659,2.782639657496386,0.9288679372523492,1,0.1456752655538695,8,"1,7,12","0.146,0.115,0.079",0.35591805766134643,generalist
Jorrdee,656,2.78169663620472,0.9285531490117609,18,0.20121951219512196,6,"18,11,13","0.201,0.085,0.069",0.32515243902276436,generalist
A2H,649,2.8517066468898675,0.951923064709231,1,0.09861325115562404,10,"1,14,11","0.099,0.086,0.079",0.29607087827278805,generalist
