window_transition,js_divergence
1992-1993->1994-1995,0.1117166490829213
1994-1995->1996-1997,0.10364652560008271
1996-1997->1998-1999,0.07874186414202441
1998-1999->2000-2001,0.0782603249482564
2000-2001->2002-2003,0.06293742857402995
2002-2003->2004-2005,0.06558724792399688
2004-2005->2006-2007,0.07785754900512544
2006-2007->2008-2009,0.06120217436741338
2008-2009->2010-2011,0.06999427570707407
2010-2011->2012-2013,0.048077376269984304
2012-2013->2014-2015,0.0860757535570392
2014-2015->2016-2017,0.10970251698244038
2016-2017->2018-2019,0.08944076614551048
2018-2019->2020-2021,0.08048695015361662
