year_transition,js_divergence
1992->1993,0.3119851557944926
1993->1994,0.3049854526756969
1994->1995,0.24701958954397077
1995->1996,0.17397901811072963
1996->1997,0.1435719708050637
1997->1998,0.11439415509083932
1998->1999,0.08878473311819728
1999->2000,0.08194710338892658
2000->2001,0.10341143323213478
2001->2002,0.08286168190937784
2002->2003,0.10184462225321511
2003->2004,0.09437983580597073
2004->2005,0.08729478219064492
2005->2006,0.10620339087645568
2006->2007,0.0753247960609947
2007->2008,0.07325080046421019
2008->2009,0.06728352746435397
2009->2010,0.09235996212343081
2010->2011,0.061276986745137645
2011->2012,0.05489427252335538
2012->2013,0.07775995624576826
2013->2014,0.0953343069943306
2014->2015,0.0671658704584229
2015->2016,0.07499047987002747
2016->2017,0.05963727043528119
2017->2018,0.0628803747856176
2018->2019,0.05578204736574238
2019->2020,0.04383067712523563
2020->2021,0.052589945719360556
2021->2022,0.029833368700463728
2022->2023,0.05949935675317943
