artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,2.5530222074847697,0.8522197494157209,10,0.1719944405837387,10,"10,2,1","0.172,0.166,0.103",0.5028144544797657,generalist
La Fouine,1191,2.7922188133579073,0.9320655380346639,1,0.11922753988245172,11,"1,12,4","0.119,0.079,0.076",0.32565071368435017,generalist
Rohff,1095,2.7268326701405403,0.9102391072168672,3,0.16529680365296803,6,"3,12,4","0.165,0.116,0.107",0.390913242007178,generalist
Sexion d’Assaut,1023,2.6026487824075555,0.8687855070973681,3,0.16324535679374388,8,"3,4,6","0.163,0.136,0.109",0.4838220918841891,generalist
Alkpote,889,2.106375972260993,0.7031255732883269,4,0.45556805399325084,5,"4,12,3","0.456,0.097,0.067",0.6383014623140187,moderate
Naps,854,2.1906975210471638,0.7312727977684824,2,0.3864168618266979,6,"2,13,1","0.386,0.118,0.087",0.6358313817298421,moderate
Disiz,849,2.6766101374936313,0.8934744139596398,3,0.1967020023557126,8,"3,6,0","0.197,0.112,0.090",0.4263250883370912,generalist
Swift Guad,797,2.7026863760666466,0.9021788762386003,16,0.1191969887076537,10,"16,3,7","0.119,0.112,0.097",0.41223337515477715,generalist
IAM,745,2.4758799737422645,0.8264690391725162,7,0.2,7,"7,6,3","0.200,0.165,0.129",0.5525503355677073,generalist
Sinik,744,2.608505007060482,0.8707403629116292,6,0.1693548387096774,9,"6,9,12","0.169,0.113,0.106",0.4797043010728703,generalist
Lacrim,732,2.7257205248651792,0.9098678640035871,10,0.1366120218579235,9,"10,11,1","0.137,0.109,0.109",0.3995901639324282,generalist
Sadek,721,2.739818131144771,0.9145737605898889,1,0.13730929264909847,6,"1,8,2","0.137,0.115,0.101",0.3910540915375734,generalist
Niro,713,2.691891101912399,0.8985753251971581,10,0.14446002805049088,10,"10,12,1","0.144,0.093,0.090",0.41816269284503405,generalist
Mac Tyer,704,2.806158020462054,0.9367185596772187,6,0.11363636363636363,7,"6,11,1","0.114,0.105,0.094",0.33124999999834376,generalist
Gims,703,2.6389035003608576,0.8808876292640767,5,0.25889046941678523,6,"5,0,4","0.259,0.101,0.058",0.4107396870534229,generalist
Booba,676,2.683211458184711,0.895677988941742,12,0.15384615384615385,7,"12,1,18","0.154,0.133,0.098",0.42736686390318873,generalist
Alonzo,666,2.7343446833051295,0.9127466788149383,2,0.15015015015015015,7,"2,1,14","0.150,0.144,0.086",0.3839339339320143,generalist
Vald,659,2.725699751870066,0.9098609298074652,4,0.16236722306525037,8,"4,16,17","0.162,0.114,0.083",0.39673748102988304,generalist
Jorrdee,656,2.584242710220256,0.8626414092586573,18,0.21036585365853658,7,"18,13,4","0.210,0.111,0.102",0.4897865853634048,generalist
A2H,649,2.6074581188470676,0.8703909030407802,15,0.19106317411402157,8,"15,2,13","0.191,0.116,0.114",0.4777349768851307,generalist
Kaaris,637,2.4993291967489917,0.8342965821120955,1,0.2370486656200942,6,"1,2,4","0.237,0.143,0.137",0.5272370486629839,generalist
Kekra,634,2.640240322897032,0.8813338715895261,4,0.1498422712933754,6,"4,8,3","0.150,0.139,0.114",0.45410094636996917,generalist
3010,623,2.730463077627913,0.9114509670080179,18,0.16051364365971107,8,"18,10,4","0.161,0.103,0.082",0.39365971107347303,generalist
Seth Gueko,613,2.3680118800343894,0.7904617848994548,4,0.233278955954323,5,"4,12,1","0.233,0.181,0.166",0.588336052199342,generalist
Guizmo,594,2.8072115180431676,0.9370702258092071,11,0.13636363636363635,9,"11,1,12","0.136,0.099,0.069",0.32306397306235773,generalist
Lucio Bukowski,590,1.7827872682975943,0.5951090102529697,7,0.511864406779661,5,"7,16,0","0.512,0.105,0.083",0.7525423728775934,specialist
Jarod,583,2.744230689454781,0.9160467087398166,1,0.1423670668953688,6,"1,4,14","0.142,0.127,0.098",0.38361921097578355,generalist
VII,580,1.488093130368349,0.49673769031534576,7,0.6051724137931035,3,"7,6,0","0.605,0.131,0.078",0.8106896551683603,specialist
Georgio,576,2.140282263157568,0.7144437712447653,0,0.3836805555555556,6,"0,9,5","0.384,0.127,0.085",0.6635416666633491,moderate
Djadja & Dinaz,568,2.5042918685953595,0.8359531626717729,10,0.198943661971831,9,"10,8,1","0.199,0.120,0.100",0.5205985915466929,generalist
Hamza,561,2.454068946529223,0.8191883394232139,2,0.1889483065953654,7,"2,8,13","0.189,0.157,0.139",0.5581996434909702,generalist
Dinos,557,2.8088097387247943,0.937603724979255,0,0.13644524236983843,6,"0,5,9","0.136,0.122,0.088",0.31193895870580124,generalist
Ol’ Kainry,557,2.744043022583161,0.915984063999071,3,0.17235188509874327,8,"3,4,1","0.172,0.118,0.077",0.36759425493532544,generalist
Hayce Lemsi,555,2.7379254733655434,0.9139419759020728,4,0.12792792792792793,8,"4,2,1","0.128,0.124,0.108",0.3824324324305205,generalist
Kery James,555,2.341938423757485,0.7817582513737529,6,0.25225225225225223,7,"6,0,7","0.252,0.123,0.110",0.6036936936906752,generalist
Soprano,549,2.6587617807214046,0.8875164861001344,0,0.11839708561020036,8,"0,6,3","0.118,0.107,0.107",0.44016393442402885,generalist
Ninho,545,2.456084510882703,0.8198611513334347,1,0.21100917431192662,5,"1,8,2","0.211,0.183,0.136",0.5501834862357814,generalist
Oxmo Puccino,542,2.7810768455115507,0.9283462577956663,0,0.13284132841328414,9,"0,9,7","0.133,0.103,0.087",0.354981549813723,generalist
