original_index,artist,title,year,topic
0,Ministère A.M.E.R.,Brigitte (Femme de flic),1992.0,4
1,Ministère A.M.E.R.,Brigitte (Femme de flic),1992.0,15
2,Ministère A.M.E.R.,Brigitte (Femme de flic),1992.0,13
3,IAM,Planète mars - Homère Mix,1992.0,12
4,IAM,Planète mars - Homère Mix,1992.0,12
5,IAM,Rien n’est plus comme avant,1992.0,3
6,IAM,Rien n’est plus comme avant,1992.0,3
7,IAM,Rien n’est plus comme avant,1992.0,3
8,Ministère A.M.E.R.,Traîtres,1992.0,6
9,Ministère A.M.E.R.,Traîtres,1992.0,14
10,Ministère A.M.E.R.,Traîtres,1992.0,14
11,Ministère A.M.E.R.,Le savoir,1992.0,6
12,Ministère A.M.E.R.,Le savoir,1992.0,6
13,Ministère A.M.E.R.,Garde à vue,1992.0,11
14,Ministère A.M.E.R.,Garde à vue,1992.0,6
15,Ministère A.M.E.R.,Garde à vue,1992.0,6
16,Ministère A.M.E.R.,Garde à vue,1992.0,14
17,Ministère A.M.E.R.,RCA,1992.0,6
18,Ministère A.M.E.R.,RCA,1992.0,6
19,Ministère A.M.E.R.,RCA,1992.0,6
20,Ministère A.M.E.R.,Au-dessus des lois,1992.0,12
21,Ministère A.M.E.R.,Au-dessus des lois,1992.0,6
22,Ministère A.M.E.R.,Au-dessus des lois,1992.0,12
23,Ministère A.M.E.R.,Sos,1992.0,13
24,Ministère A.M.E.R.,Sos,1992.0,13
25,Ministère A.M.E.R.,Sos,1992.0,13
26,Ministère A.M.E.R.,Sos,1992.0,4
27,Ministère A.M.E.R.,Etiquette,1992.0,3
28,Ministère A.M.E.R.,Etiquette,1992.0,4
29,El Matador,Brandao,1992.0,4
30,El Matador,Brandao,1992.0,3
31,Assassin (FRA),L’Ecologie : “Sauvons La Planète”,1992.0,7
32,Assassin (FRA),L’Ecologie : “Sauvons La Planète”,1992.0,7
33,Assassin (FRA),L’Ecologie : “Sauvons La Planète”,1992.0,7
34,Assassin (FRA),L’Ecologie : “Sauvons La Planète”,1992.0,7
35,Assassin (FRA),Le Futur Que Nous Réserve-T-Il ?,1992.0,6
36,Assassin (FRA),Le Futur Que Nous Réserve-T-Il ?,1992.0,6
37,Assassin (FRA),Le Futur Que Nous Réserve-T-Il ?,1992.0,6
