topic,rank,artist,n_docs,pct_of_topic,total_topic_docs
0,1,Georgio,221,2.724694858833683,8111
0,2,Lonepsi,165,2.0342744421156453,8111
0,3,Lord Esperanza,128,1.5781038096412279,8111
0,4,Scylla,124,1.5287880655899395,8111
0,5,Hyacinthe,118,1.4548144495130069,8111
0,6,Tsew The Kid,91,1.1219331771668106,8111
0,7,Lomepal,83,1.0233016890642337,8111
0,8,Grand Corps Malade,80,0.9863148810257676,8111
0,9,JuL,76,0.9369991369744791,8111
0,10,La Fouine,76,0.9369991369744791,8111
0,11,Disiz,76,0.9369991369744791,8111
0,12,Dinos,76,0.9369991369744791,8111
0,13,Lujipeka,75,0.9246702009616571,8111
0,14,Bekar,74,0.9123412649488349,8111
0,15,Oxmo Puccino,72,0.8876833929231908,8111
0,16,Gims,71,0.8753544569103686,8111
0,17,Nekfeu,71,0.8753544569103686,8111
0,18,Swift Guad,68,0.8383676488719023,8111
0,19,Kery James,68,0.8383676488719023,8111
0,20,Bigflo & Oli,67,0.8260387128590803,8111
1,1,JuL,297,3.74905326937642,7922
1,2,Kaaris,151,1.9060843221408736,7922
1,3,La Fouine,142,1.792476647311285,7922
1,4,13 Block,118,1.4895228477657156,7922
1,5,Ninho,115,1.4516536228225196,7922
1,6,Niska,109,1.3759151729361272,7922
1,7,GLK,108,1.363292097955062,7922
1,8,Elams,106,1.338045947992931,7922
1,9,Seth Gueko,102,1.2875536480686696,7922
1,10,Leto,102,1.2875536480686696,7922
1,11,Sadek,99,1.2496844231254733,7922
1,12,Sofiane,99,1.2496844231254733,7922
1,13,Alonzo,96,1.2118151981822771,7922
1,14,Soso Maness,94,1.1865690482201465,7922
1,15,Booba,90,1.136076748295885,7922
1,16,Timal,84,1.0603382984094925,7922
1,17,Jarod,83,1.047715223428427,7922
1,18,Maes,83,1.047715223428427,7922
1,19,Lacrim,80,1.009845998485231,7922
1,20,Hooss,75,0.946730623579904,7922
2,1,JuL,478,6.038403233956544,7916
2,2,Naps,330,4.16877210712481,7916
2,3,Timal,129,1.629610914603335,7916
2,4,Hamza,106,1.3390601313794845,7916
2,5,Alonzo,100,1.263264274886306,7916
2,6,Kaaris,91,1.1495704901465387,7916
2,7,Hooss,85,1.0737746336533602,7916
2,8,Koba LaD,85,1.0737746336533602,7916
2,9,La Fouine,84,1.0611419909044972,7916
2,10,PLK,79,0.9979787771601819,7916
2,11,Rim’K,79,0.9979787771601819,7916
2,12,A2H,75,0.9474482061647296,7916
2,13,Ninho,74,0.9348155634158665,7916
2,14,Sadek,73,0.9221829206670036,7916
2,15,SCH,71,0.8969176351692775,7916
2,16,Hayce Lemsi,69,0.8716523496715513,7916
2,17,Maes,69,0.8716523496715513,7916
2,18,Leto,67,0.8463870641738251,7916
2,19,Luv Resval,66,0.833754421424962,7916
2,20,Hornet La Frappe,65,0.8211217786760991,7916
3,1,Rohff,181,2.3110316649642493,7832
3,2,Busta Flex,168,2.1450459652706844,7832
3,3,Sexion d’Assaut,167,2.1322778345250257,7832
3,4,Disiz,167,2.1322778345250257,7832
3,5,Les Sages Poètes de la Rue,100,1.2768130745658837,7832
3,6,IAM,96,1.2257405515832482,7832
3,7,Ol’ Kainry,96,1.2257405515832482,7832
3,8,Swift Guad,89,1.1363636363636365,7832
3,9,Youssoupha,88,1.1235955056179776,7832
3,10,Demi Portion,83,1.0597548518896833,7832
3,11,Rockin’ Squat,83,1.0597548518896833,7832
3,12,TSR Crew,73,0.9320735444330951,7832
3,13,Kekra,72,0.9193054136874361,7832
3,14,La Fouine,71,0.9065372829417773,7832
3,15,Bigflo & Oli,71,0.9065372829417773,7832
3,16,Akhenaton,69,0.8810010214504597,7832
3,17,Mystik,63,0.8043922369765066,7832
3,18,Alkpote,60,0.7660878447395302,7832
3,19,Dandyguel,60,0.7660878447395302,7832
3,20,Soprano,59,0.7533197139938713,7832
4,1,Alkpote,405,5.318450426789232,7615
4,2,JuL,151,1.9829284307288246,7615
4,3,Seth Gueko,143,1.8778726198292843,7615
4,4,Sexion d’Assaut,139,1.825344714379514,7615
4,5,Rohff,117,1.536441234405778,7615
4,6,Jack Uzi,111,1.4576493762311227,7615
4,7,Vald,107,1.4051214707813526,7615
4,8,Kekra,95,1.247537754432042,7615
4,9,Svinkels,95,1.247537754432042,7615
4,10,La Fouine,90,1.1818778726198294,7615
4,11,Kaaris,87,1.1424819435325018,7615
4,12,Cookiesan,83,1.0899540380827315,7615
4,13,Grems,79,1.0374261326329612,7615
4,14,Jarod,74,0.9717662508207485,7615
4,15,Hayce Lemsi,71,0.9323703217334209,7615
4,16,KIK,71,0.9323703217334209,7615
4,17,Jorrdee,67,0.8798424162836507,7615
4,18,Ol’ Kainry,66,0.8667104399212082,7615
