topic,rank,artist,n_docs,pct_of_topic,total_topic_docs
1,1,Booba,27,3.835227272727273,704
1,2,Cuizinier,20,2.840909090909091,704
1,3,100 Blaze,19,2.6988636363636362,704
1,4,La Fouine,17,2.414772727272727,704
1,5,Lala &ce,15,2.130681818181818,704
1,6,Hocus Pocus,15,2.130681818181818,704
1,7,IAM,14,1.9886363636363635,704
1,8,Serane,14,1.9886363636363635,704
1,9,VII,13,1.8465909090909092,704
1,10,Hamza,11,1.5625,704
1,11,Boostee,11,1.5625,704
1,12,Gims,10,1.4204545454545454,704
1,13,JuL,9,1.278409090909091,704
1,14,Sadek,9,1.278409090909091,704
1,15,La Fève,9,1.278409090909091,704
1,16,Rohff,8,1.1363636363636365,704
1,17,Disiz,8,1.1363636363636365,704
1,18,Lacrim,8,1.1363636363636365,704
1,19,Ninho,8,1.1363636363636365,704
1,20,OrelSan,8,1.1363636363636365,704
2,1,Freeze Corleone,283,33.294117647058826,850
2,2,Retro X,175,20.588235294117645,850
2,3,Zuukou Mayzie,106,12.470588235294118,850
2,4,Jorrdee,48,5.647058823529412,850
2,5,667,34,4.0,850
2,6,Lala &ce,17,2.0,850
2,7,Hamza,16,1.8823529411764703,850
2,8,Kekra,9,1.0588235294117647,850
2,9,Senamo,9,1.0588235294117647,850
2,10,Serane,8,0.9411764705882352,850
2,11,Luv Resval,7,0.823529411764706,850
2,12,Bekar,6,0.7058823529411765,850
2,13,Pink Tee,6,0.7058823529411765,850
2,14,Rohff,5,0.5882352941176471,850
2,15,Lartiste,5,0.5882352941176471,850
2,16,Gazo,5,0.5882352941176471,850
2,17,Sir Samuel,5,0.5882352941176471,850
2,18,Grems,4,0.4705882352941176,850
2,19,La Fève,4,0.4705882352941176,850
2,20,Canardo,4,0.4705882352941176,850
3,1,JuL,1985,30.737070300402603,6458
3,2,Naps,604,9.352740786621245,6458
3,3,Alonzo,242,3.7472901827191083,6458
3,4,Hooss,201,3.1124187054815735,6458
3,5,Elams,181,2.8027253019510683,6458
3,6,Soso Maness,120,1.8581604211830287,6458
3,7,Kamikaz,107,1.6568597088882007,6458
3,8,L’Algérino,105,1.6258903685351502,6458
3,9,Houari,97,1.5020130071229483,6458
3,10,Kofs,96,1.486528336946423,6458
3,11,Kalif Hardcore,74,1.1458655930628678,6458
3,12,Thabiti,68,1.0529575720037163,6458
3,13,YL,67,1.037472901827191,6458
3,14,Dibson,57,0.8826262000619386,6458
3,15,AM La Scampia,56,0.8671415298854134,6458
3,16,Moubarak,56,0.8671415298854134,6458
3,17,Dika,54,0.836172189532363,6458
3,18,Djadja & Dinaz,51,0.7897181790027873,6458
3,19,Alrima,50,0.774233508826262,6458
3,20,Soolking,48,0.7432641684732115,6458
4,1,Luv Resval,196,2.820143884892086,6950
4,2,Hamza,182,2.6187050359712227,6950
4,3,Leto,168,2.41726618705036,6950
4,4,La Fève,146,2.1007194244604315,6950
4,5,Kalash Criminel,134,1.9280575539568345,6950
4,6,Niska,126,1.8129496402877698,6950
4,7,ASHE 22,126,1.8129496402877698,6950
4,8,Gazo,122,1.7553956834532374,6950
4,9,Youv Dee,117,1.683453237410072,6950
4,10,Guy2Bezbar,115,1.6546762589928057,6950
4,11,Jok’Air,94,1.3525179856115108,6950
4,12,Zola,94,1.3525179856115108,6950
4,13,Kaaris,88,1.2661870503597124,6950
4,14,Ninho,87,1.2517985611510791,6950
4,15,Hayce Lemsi,82,1.1798561151079137,6950
4,16,Franglish,82,1.1798561151079137,6950
4,17,So La Lune,81,1.1654676258992807,6950
4,18,SCH,78,1.1223021582733812,6950
4,19,Kekra,71,1.0215827338129497,6950
4,20,Gambino La MG,70,1.0071942446043165,6950
5,1,Serane,117,32.231404958677686,363
5,2,Youri,50,13.774104683195592,363
5,3,Luni Sacks,30,8.264462809917356,363
5,4,Hamza,27,7.43801652892562,363
5,5,Lala &ce,17,4.683195592286501,363
5,6,Francis Tra$h,12,3.3057851239669422,363
5,7,Vald,7,1.9283746556473829,363
5,8,J9ueve,6,1.6528925619834711,363
5,9,Dinos,5,1.3774104683195594,363
5,10,La Fève,5,1.3774104683195594,363
5,11,Josman,5,1.3774104683195594,363
5,12,Krisy,5,1.3774104683195594,363
5,13,Pink Tee,5,1.3774104683195594,363
5,14,Alkpote,4,1.1019283746556474,363
5,15,Luv Resval,4,1.1019283746556474,363
5,16,Kalash,4,1.1019283746556474,363
5,17,​nelick,4,1.1019283746556474,363
5,18,PLK,3,0.8264462809917356,363
5,19,Sam’s,3,0.8264462809917356,363
5,20,Sadek,2,0.5509641873278237,363
6,1,Sexion d’Assaut,205,40.27504911591356,509
6,2,Gims,51,10.019646365422396,509
6,3,Black M,30,5.893909626719057,509
6,4,H Magnum,16,3.143418467583497,509
6,5,The Shin Sekaï,12,2.357563850687623,509
6,6,Jarod,11,2.161100196463654,509
6,7,Mister You,8,1.5717092337917484,509
6,8,Disiz,6,1.1787819253438114,509
6,9,Dry,6,1.1787819253438114,509
6,10,Barack,6,1.1787819253438114,509
6,11,Rim’K,5,0.9823182711198428,509
6,12,Still Fresh,5,0.9823182711198428,509
6,13,El Matador,5,0.9823182711198428,509
6,14,Mokobé,5,0.9823182711198428,509
6,15,L.I.O. Petrodollars,5,0.9823182711198428,509
6,16,Rohff,4,0.7858546168958742,509
6,17,Soprano,4,0.7858546168958742,509
6,18,Médine,4,0.7858546168958742,509
6,19,Nekfeu,4,0.7858546168958742,509
6,20,Demi Portion,4,0.7858546168958742,509
7,1,Jorrdee,230,2.144122308194276,10727
7,2,A2H,225,2.097510953668314,10727
7,3,Alkpote,216,2.013610515521581,10727
7,4,3010,211,1.9669991609956183,10727
7,5,Ateyaba,200,1.864454181038501,10727
7,6,Grems,180,1.6780087629346507,10727
7,7,Ol’ Kainry,172,1.603430595693111,10727
7,8,Beeby,167,1.5568192411671484,10727
7,9,Black Kent,166,1.5474969702619559,10727
7,10,Busta Flex,151,1.4076629066840682,10727
7,11,Hamza,148,1.3796960939684906,10727
7,12,Vald,145,1.3517292812529134,10727
