window_transition,js_divergence
1992-1993->1994-1995,0.1568386797916868
1994-1995->1996-1997,0.11586274804198453
1996-1997->1998-1999,0.07917004356231779
1998-1999->2000-2001,0.07311329275139915
2000-2001->2002-2003,0.0704991224477355
2002-2003->2004-2005,0.11228615898787003
2004-2005->2006-2007,0.07543817768803768
2006-2007->2008-2009,0.07973969249676545
2008-2009->2010-2011,0.11576453681201014
2010-2011->2012-2013,0.05552037017473063
2012-2013->2014-2015,0.18095672140080768
2014-2015->2016-2017,0.12283523914816379
2016-2017->2018-2019,0.11232093166056428
2018-2019->2020-2021,0.07615458937616615
