artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,1.3437314160267972,0.4485485662016986,3,0.6897150799166087,3,"3,20,16","0.690,0.055,0.050",0.8106323835956692,specialist
La Fouine,1191,2.2479499709026705,0.750384135040149,17,0.33669185558354325,6,"17,20,7","0.337,0.126,0.096",0.6312762384519235,moderate
Rohff,1095,2.273958264884521,0.7590659168573858,17,0.33424657534246577,6,"17,20,8","0.334,0.156,0.083",0.6186757990836647,moderate
Sexion d’Assaut,1023,2.187975130569328,0.730364041501486,17,0.2570869990224829,7,"17,6,20","0.257,0.200,0.115",0.6654447702801526,generalist
Alkpote,889,2.2014848301570535,0.7348736900127991,18,0.2440944881889764,4,"18,7,17","0.244,0.243,0.150",0.6539370078707459,generalist
Naps,854,1.2278464911489322,0.4098652279405045,3,0.7072599531615925,3,"3,4,16","0.707,0.078,0.070",0.8377049180285985,specialist
Disiz,849,2.333593252690423,0.7789725648353621,8,0.14487632508833923,8,"19,8,7","0.145,0.145,0.134",0.590636042399874,generalist
Swift Guad,797,2.2596114820818705,0.7542768431042662,11,0.22961104140526975,7,"11,19,10","0.230,0.162,0.112",0.6325595984911913,generalist
IAM,745,1.981898750404166,0.6615740558327456,10,0.2912751677852349,5,"10,19,8","0.291,0.189,0.161",0.72664429529838,generalist
Sinik,744,2.198255452687791,0.7337956973304185,20,0.22580645161290322,7,"20,17,8","0.226,0.168,0.125",0.6561827956956435,generalist
Lacrim,732,2.21480048353089,0.7393185643066023,16,0.3510928961748634,5,"16,20,17","0.351,0.139,0.092",0.6360655737673114,moderate
Sadek,721,2.601148773659222,0.8682847918760596,17,0.13869625520110956,8,"17,16,9","0.139,0.133,0.107",0.4737170596370212,generalist
Niro,713,2.155157192690423,0.7194091447075975,16,0.26367461430575034,4,"16,17,20","0.264,0.229,0.163",0.67244039270351,generalist
Mac Tyer,704,2.4100046275105225,0.8044793083767163,17,0.234375,7,"17,20,19","0.234,0.116,0.115",0.5690340909062456,generalist
Gims,703,2.5513630997508145,0.8516659256482896,19,0.14509246088193456,8,"19,12,20","0.145,0.138,0.134",0.5027738264555232,generalist
Booba,676,2.025589194680681,0.6761582844242688,17,0.4718934911242604,4,"17,7,10","0.472,0.105,0.058",0.6575443786949372,moderate
Alonzo,666,2.1561300917395454,0.7197339063886432,3,0.3633633633633634,5,"3,20,16","0.363,0.134,0.099",0.6499999999967501,moderate
Vald,659,2.4662109838215316,0.823241451044535,7,0.22003034901365706,7,"7,11,19","0.220,0.165,0.093",0.5469650986315597,generalist
Jorrdee,656,2.250651741275974,0.7512860081471534,7,0.35060975609756095,6,"7,19,2","0.351,0.136,0.073",0.6181402438993482,moderate
A2H,649,2.2047747917390623,0.7359719061688463,7,0.34668721109399075,6,"7,13,19","0.347,0.116,0.091",0.6399845916763071,moderate
Kaaris,637,2.3297171271487302,0.7776786823426205,17,0.21978021978021978,5,"17,4,9","0.220,0.138,0.127",0.6080847723674467,generalist
Kekra,634,2.343550428649395,0.7822963518262335,7,0.1829652996845426,6,"7,9,17","0.183,0.169,0.166",0.6047318611957143,generalist
3010,623,2.237313838163301,0.7468337067080633,7,0.33868378812199035,7,"7,12,17","0.339,0.119,0.114",0.6334670946998823,moderate
Seth Gueko,613,1.862959101557384,0.6218710256598665,17,0.32300163132137033,4,"17,18,7","0.323,0.279,0.171",0.7469004893926767,moderate
Guizmo,594,2.170102536610857,0.7243980230704505,17,0.35858585858585856,6,"17,20,16","0.359,0.125,0.113",0.6584175084142163,moderate
Lucio Bukowski,590,1.538587735287074,0.5135932035280871,11,0.511864406779661,4,"11,19,10","0.512,0.210,0.085",0.8203389830467461,specialist
Jarod,583,2.140672482379732,0.7145740296211925,17,0.32246998284734135,6,"17,20,16","0.322,0.163,0.141",0.6788164665489215,moderate
VII,580,1.5077713438358589,0.503306439345834,11,0.4241379310344828,3,"11,8,19","0.424,0.238,0.216",0.8246551724096698,moderate
Georgio,576,1.847987437195467,0.6168733613178005,19,0.3489583333333333,4,"19,20,12","0.349,0.273,0.134",0.757812499996211,moderate
Djadja & Dinaz,568,2.032936946491899,0.6786110242355274,16,0.32922535211267606,6,"16,9,15","0.329,0.162,0.132",0.710211267602083,moderate
Hamza,561,2.102199970847754,0.7017315897704725,4,0.3244206773618538,3,"4,7,16","0.324,0.264,0.061",0.6615864527596156,moderate
Dinos,557,2.523074481382653,0.8422229528506566,19,0.1615798922800718,8,"19,12,13","0.162,0.120,0.108",0.5212746858142697,generalist
Ol’ Kainry,557,2.0535276353711023,0.6854843650413717,7,0.3087971274685817,5,"7,17,20","0.309,0.223,0.129",0.7069120287217797,moderate
Hayce Lemsi,555,2.49330760981426,0.8322865270120823,16,0.16036036036036036,7,"16,4,7","0.160,0.148,0.128",0.5345045045018323,generalist
Kery James,555,1.838698022649986,0.6137724785628604,20,0.2972972972972973,5,"20,8,19","0.297,0.249,0.222",0.7593693693655726,generalist
Soprano,549,2.3991860961682194,0.800867993895176,19,0.21129326047358835,8,"19,20,8","0.211,0.166,0.111",0.585701275042609,generalist
Ninho,545,2.0778615029451646,0.693607209592228,9,0.3247706422018349,5,"9,4,16","0.325,0.160,0.156",0.6944036697212987,moderate
Oxmo Puccino,542,2.2219345620387245,0.7416999782169218,20,0.18450184501845018,7,"20,19,10","0.185,0.168,0.161",0.6435424354211368,generalist
Jok’Air,541,2.3085183831774647,0.7706023677605712,7,0.21811460258780038,8,"7,4,13","0.218,0.174,0.135",0.6209796672797052,generalist
Médine,539,1.6204117252440247,0.5409067223893299,8,0.588126159554731,5,"8,11,20","0.588,0.082,0.065",0.7741187384005824,specialist
Dosseh,535,2.3988274188069725,0.8007482644505881,17,0.2485981308411215,8,"17,9,4","0.249,0.135,0.112",0.5808411214924232,generalist
Mister You,535,2.056079048509902,0.6863360476704649,17,0.40186915887850466,5,"17,16,3","0.402,0.168,0.075",0.6890654205573022,moderate
PLK,511,2.3493191505603175,0.7842219985076302,9,0.24853228962818003,7,"9,16,4","0.249,0.151,0.112",0.601859099801296,generalist
Black M,501,2.455144182268219,0.8195472619305715,12,0.15568862275449102,8,"12,20,13","0.156,0.148,0.130",0.5498003991988479,generalist
Leto,500,1.7901949397917956,0.5975817517457912,4,0.336,4,"4,9,16","0.336,0.310,0.132",0.766199999996169,moderate
Hooss,486,1.8946702009787204,0.6324564506997736,3,0.41358024691358025,4,"3,16,15","0.414,0.193,0.107",0.7419753086382656,moderate
Youssoupha,484,2.030032593840296,0.6776415275027111,8,0.2665289256198347,6,"8,20,10","0.267,0.256,0.167",0.7113636363600796,generalist
Lord Esperanza,471,1.9012625345288712,0.634657025700533,19,0.4543524416135881,6,"19,7,11","0.454,0.108,0.083",0.7287685774910485,moderate
KIK,469,2.1133810251288803,0.7054639173819321,12,0.2771855010660981,5,"12,7,13","0.277,0.211,0.154",0.6881663112971989,generalist
Beeby,469,2.194054880477596,0.7323935118790426,7,0.35607675906183367,6,"7,17,19","0.356,0.098,0.094",0.626119402981944,moderate
Nekfeu,465,2.3570692524358963,0.7868090460699227,19,0.22365591397849463,7,"19,7,20","0.224,0.157,0.133",0.6022580645131179,generalist
Akhenaton,464,1.9633331509784944,0.6553767064936319,10,0.2974137931034483,6,"10,8,19","0.297,0.179,0.177",0.7310344827549655,generalist
GLK,462,1.8736209476822576,0.6254300373309011,16,0.36363636363636365,6,"16,9,15","0.364,0.229,0.106",0.7534632034594364,moderate
YL,461,2.0585049158509148,0.6871458220826939,16,0.3774403470715835,5,"16,3,15","0.377,0.145,0.102",0.695770065072443,moderate
RK,460,1.8666738434270729,0.6231110369594349,16,0.3826086956521739,6,"16,9,4","0.383,0.215,0.117",0.7517391304310239,moderate
Luv Resval,459,1.8475725890414043,0.616734881601931,4,0.42701525054466233,5,"4,7,19","0.427,0.161,0.137",0.7554466230899046,moderate
13 Block,450,1.7070545841286107,0.5698288192166933,9,0.4911111111111111,4,"9,16,4","0.491,0.140,0.107",0.7835555555516381,moderate
