artist,title,year,iramuteq_class
Ministère A.M.E.R.,Brigitte (Femme de flic),1992.0,8
Ministère A.M.E.R.,Brigitte (Femme de flic),1992.0,7
Ministère A.M.E.R.,Brigitte (Femme de flic),1992.0,11
IAM,Planète mars - Homère Mix,1992.0,10
IAM,Planète mars - Homère Mix,1992.0,8
IAM,Rien n’est plus comme avant,1992.0,10
IAM,Rien n’est plus comme avant,1992.0,10
IAM,Rien n’est plus comme avant,1992.0,10
Ministère A.M.E.R.,Traîtres,1992.0,8
Ministère A.M.E.R.,Traîtres,1992.0,8
Ministère A.M.E.R.,Traîtres,1992.0,8
Ministère A.M.E.R.,Le savoir,1992.0,8
Ministère A.M.E.R.,Le savoir,1992.0,8
Ministère A.M.E.R.,Garde à vue,1992.0,10
Ministère A.M.E.R.,Garde à vue,1992.0,8
Ministère A.M.E.R.,Garde à vue,1992.0,10
Ministère A.M.E.R.,Garde à vue,1992.0,12
Ministère A.M.E.R.,RCA,1992.0,8
Ministère A.M.E.R.,RCA,1992.0,8
Ministère A.M.E.R.,RCA,1992.0,8
Ministère A.M.E.R.,Au-dessus des lois,1992.0,8
Ministère A.M.E.R.,Au-dessus des lois,1992.0,8
Ministère A.M.E.R.,Au-dessus des lois,1992.0,8
Ministère A.M.E.R.,Sos,1992.0,11
Ministère A.M.E.R.,Sos,1992.0,11
Ministère A.M.E.R.,Sos,1992.0,19
Ministère A.M.E.R.,Sos,1992.0,10
Ministère A.M.E.R.,Etiquette,1992.0,8
Ministère A.M.E.R.,Etiquette,1992.0,10
El Matador,Brandao,1992.0,17
El Matador,Brandao,1992.0,7
Assassin (FRA),L’Ecologie : “Sauvons La Planète”,1992.0,8
Assassin (FRA),L’Ecologie : “Sauvons La Planète”,1992.0,8
Assassin (FRA),L’Ecologie : “Sauvons La Planète”,1992.0,8
Assassin (FRA),L’Ecologie : “Sauvons La Planète”,1992.0,8
Assassin (FRA),Le Futur Que Nous Réserve-T-Il ?,1992.0,8
Assassin (FRA),Le Futur Que Nous Réserve-T-Il ?,1992.0,8
Assassin (FRA),Le Futur Que Nous Réserve-T-Il ?,1992.0,8
Assassin (FRA),À Qui L’Histoire ? (Le Système Scolaire),1992.0,8
Assassin (FRA),À Qui L’Histoire ? (Le Système Scolaire),1992.0,8
Assassin (FRA),À Qui L’Histoire ? (Le Système Scolaire),1992.0,8
Assassin (FRA),À Qui L’Histoire ? (Le Système Scolaire),1992.0,8
Assassin (FRA),À Qui L’Histoire ? (Le Système Scolaire),1992.0,8
Assassin (FRA),L’Éducation À Travers Les Médias,1992.0,8
Assassin (FRA),La Formule Secrète 2 : Le Retour,1992.0,8
Assassin (FRA),La Formule Secrète 2 : Le Retour,1992.0,10
Assassin (FRA),La Formule Secrète 2 : Le Retour,1992.0,8
Assassin (FRA),La Formule Secrète 2 : Le Retour,1992.0,8
Assassin (FRA),Le Vent M’Emporte,1992.0,10
Assassin (FRA),Le Vent M’Emporte,1992.0,10
Assassin (FRA),Le Vent M’Emporte,1992.0,10
Assassin (FRA),Le Vent M’Emporte,1992.0,10
Assassin (FRA),Kique Ta Merde,1992.0,8
Assassin (FRA),Kique Ta Merde,1992.0,10
Assassin (FRA),Kique Ta Merde,1992.0,8
Assassin (FRA),Respect L’Ancienne École,1992.0,10
Assassin (FRA),Respect L’Ancienne École,1992.0,10
Assassin (FRA),Respect L’Ancienne École,1992.0,11
Assassin (FRA),Au Centre Des Polémiques,1992.0,8
Assassin (FRA),Au Centre Des Polémiques,1992.0,8
Soon E MC,Sur le boulevard du rythm’funky (1992),1992.0,10
Soon E MC,Sur le boulevard du rythm’funky (1992),1992.0,10
Soon E MC,Élucider ce mystère (1992),1992.0,12
Soon E MC,Élucider ce mystère (1992),1992.0,8
Soon E MC,Élucider ce mystère (1992),1992.0,13
Soon E MC,Élucider ce mystère (1992),1992.0,12
Soon E MC,Élucider ce mystère (1992),1992.0,10
Soon E MC,O.P.I.D (1992),1992.0,13
Soon E MC,O.P.I.D (1992),1992.0,19
Soon E MC,O.P.I.D (1992),1992.0,19
Soon E MC,Chauffeur de taxi groove,1992.0,10
Soon E MC,Chauffeur de taxi groove,1992.0,10
Soon E MC,Chauffeur de taxi groove,1992.0,10
Soon E MC,Répugnant (1992),1992.0,19
Soon E MC,Répugnant (1992),1992.0,8
Soon E MC,Wadchie wadcha (1992),1992.0,12
Soon E MC,Wadchie wadcha (1992),1992.0,10
Soon E MC,Wadchie wadcha (1992),1992.0,10
Soon E MC,Wadchie wadcha (1992),1992.0,10
Suprême NTM,Police,1993.0,12
Suprême NTM,Police,1993.0,8
Suprême NTM,Police,1993.0,10
Suprême NTM,Police,1993.0,8
Suprême NTM,Police,1993.0,8
IAM,Je danse le MIA (Le Terrible Funk Remix Radio Edit),1993.0,7
IAM,Je danse le MIA (Le Terrible Funk Remix Radio Edit),1993.0,7
IAM,Je danse le MIA (Le Terrible Funk Remix Radio Edit),1993.0,7
IAM,Je danse le MIA (Le Terrible Funk Remix Radio Edit),1993.0,10
IAM,Je danse le MIA (Le Terrible Funk Remix Radio Edit),1993.0,7
IAM,Je danse le mia,1993.0,7
IAM,Je danse le mia,1993.0,7
IAM,Je danse le mia,1993.0,7
IAM,Je danse le mia,1993.0,10
Suprême NTM,J’appuie sur la gâchette,1993.0,19
Suprême NTM,J’appuie sur la gâchette,1993.0,20
Suprême NTM,J’appuie sur la gâchette,1993.0,19
IAM,J’aurais pu croire,1993.0,8
IAM,J’aurais pu croire,1993.0,8
IAM,Le 7,1993.0,8
Suprême NTM,Qui paiera les dégâts ?,1993.0,20
Suprême NTM,Qui paiera les dégâts ?,1993.0,19
Suprême NTM,Qui paiera les dégâts ?,1993.0,20
Suprême NTM,Pour un nouveau massacre,1993.0,10
Suprême NTM,Pour un nouveau massacre,1993.0,10
Suprême NTM,Pour un nouveau massacre,1993.0,10
Suprême NTM,Pour un nouveau massacre,1993.0,1
Suprême NTM,De best,1993.0,10
Suprême NTM,De best,1993.0,10
Suprême NTM,De best,1993.0,10
Suprême NTM,De best,1993.0,10
Suprême NTM,De best,1993.0,10
Suprême NTM,Sur 24 pistes (Remix),1993.0,10
Suprême NTM,Sur 24 pistes (Remix),1993.0,10
Suprême NTM,Sur 24 pistes (Remix),1993.0,10
Suprême NTM,Sur 24 pistes (Remix),1993.0,10
Suprême NTM,Nouvelle école,1993.0,10
Suprême NTM,Plus rien ne va,1993.0,8
Suprême NTM,Juste pour le fun,1993.0,10
Suprême NTM,Juste pour le fun,1993.0,11
Suprême NTM,Juste pour le fun,1993.0,11
Suprême NTM,Prisonnier du passé,1993.0,20
Suprême NTM,Prisonnier du passé,1993.0,19
Suprême NTM,Prisonnier du passé,1993.0,8
Suprême NTM,En direct de Bujolvik,1993.0,8
Suprême NTM,La révolution du son,1993.0,10
Suprême NTM,La révolution du son,1993.0,10
Suprême NTM,La révolution du son,1993.0,8
Suprême NTM,La révolution du son,1993.0,10
IAM,Une femme seule,1993.0,20
IAM,Une femme seule,1993.0,20
IAM,Une femme seule,1993.0,20
IAM,Attentat II,1993.0,10
IAM,Attentat II,1993.0,10
IAM,Attentat II,1993.0,11
IAM,Attentat II,1993.0,8
IAM,Attentat II,1993.0,12
IAM,Attentat II,1993.0,11
IAM,Attentat II,1993.0,11
IAM,Attentat II,1993.0,10
IAM,Attentat II,1993.0,11
IAM,Le shit squad,1993.0,3
IAM,Le shit squad,1993.0,16
IAM,Le shit squad,1993.0,11
IAM,Le shit squad,1993.0,10
