artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,2.5809176261021416,0.8615314689120288,0,0.2661570535093815,8,"0,16,1","0.266,0.116,0.078",0.4685545517697214,generalist
La Fouine,1191,2.70230729929617,0.9020523373039221,0,0.23929471032745592,7,"0,11,16","0.239,0.075,0.071",0.38064651553126205,generalist
Rohff,1094,2.7404442902218804,0.9147827776247678,0,0.21480804387568556,7,"0,16,11","0.215,0.080,0.077",0.3695612431425765,generalist
Sexion d’Assaut,1023,2.6941242069075217,0.8993207539575437,0,0.2316715542521994,8,"0,16,17","0.232,0.106,0.065",0.3986803519041652,generalist
Alkpote,889,2.585935992595428,0.8632066408015826,0,0.27334083239595053,7,"0,1,11","0.273,0.083,0.073",0.4619235095589954,generalist
Naps,854,2.488477691191521,0.8306742605671208,0,0.297423887587822,5,"0,16,1","0.297,0.102,0.091",0.516861826695308,generalist
Disiz,849,2.664569299523147,0.8894550835018483,0,0.21554770318021202,5,"0,16,17","0.216,0.151,0.077",0.42326266195312545,generalist
Swift Guad,797,2.7088911890403993,0.9042500936930198,0,0.21957340025094102,7,"0,16,17","0.220,0.093,0.069",0.39203262233179154,generalist
IAM,745,2.6942960255541326,0.8993781084308148,16,0.20536912751677852,4,"16,0,17","0.205,0.123,0.114",0.40422818791744203,generalist
Sinik,744,2.696200820762366,0.9000139446919683,0,0.1827956989247312,7,"0,16,17","0.183,0.125,0.097",0.4229838709656271,generalist
Lacrim,732,2.605292206396398,0.8696679037027586,0,0.19398907103825136,7,"0,16,2","0.194,0.142,0.133",0.4778688524566275,generalist
Sadek,721,2.506638966229653,0.8367366431099327,0,0.31484049930651875,5,"0,16,11","0.315,0.090,0.078",0.4921636615786765,moderate
Niro,713,2.7041609102983477,0.9026710878573481,0,0.2300140252454418,6,"0,2,11","0.230,0.088,0.070",0.3913744740513393,generalist
Mac Tyer,704,2.6362507776834403,0.8800021286801843,0,0.24573863636363635,7,"0,16,2","0.246,0.101,0.080",0.4419034090886995,generalist
Gims,703,2.5018514891188675,0.8351385439897113,0,0.2958748221906117,6,"0,16,17","0.296,0.112,0.090",0.5071834992862265,generalist
Booba,676,2.719910727834012,0.9079285061102081,0,0.20414201183431951,7,"0,18,16","0.204,0.098,0.087",0.39644970414002945,generalist
Alonzo,666,2.57501203597026,0.8595601344960614,0,0.2897897897897898,5,"0,16,17","0.290,0.110,0.065",0.45300300300073804,generalist
Vald,659,2.6416998193403503,0.8818210634711914,0,0.2488619119878604,7,"0,16,2","0.249,0.096,0.082",0.4334597875547371,generalist
Jorrdee,656,2.4976364098064825,0.8337315159486559,0,0.24085365853658536,6,"0,16,1","0.241,0.165,0.108",0.5292682926802804,generalist
A2H,649,2.5519453815696753,0.8518602960945411,0,0.26810477657935283,6,"0,16,1","0.268,0.133,0.072",0.48343605546753665,generalist
Kaaris,635,2.539243703115149,0.847620371663825,0,0.30078740157480316,6,"0,16,1","0.301,0.102,0.085",0.47645669291100357,moderate
Kekra,634,2.3828107861007295,0.795401781105719,0,0.3659305993690852,5,"0,16,1","0.366,0.095,0.084",0.5361198738143542,moderate
