artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,2.0717377086606463,0.6915630368406845,16,0.2473940236275191,4,"16,15,0","0.247,0.207,0.182",0.6999999999965001,generalist
La Fouine,1191,1.957748403185279,0.6535124718814415,0,0.30394626364399663,4,"0,15,16","0.304,0.216,0.213",0.729596977326327,moderate
Rohff,1094,1.6368745403951677,0.5464021450933129,0,0.4113345521023766,3,"0,16,15","0.411,0.321,0.106",0.7937842778753729,moderate
Sexion d’Assaut,1023,1.5354845558424663,0.5125573367812479,0,0.4115347018572825,3,"0,16,15","0.412,0.369,0.057",0.8097262952061176,moderate
Alkpote,889,1.6786092984137575,0.5603335495739534,16,0.3565804274465692,4,"16,15,0","0.357,0.287,0.186",0.7940944881850059,moderate
Naps,854,2.2786085750298364,0.7606182285196688,15,0.24707259953161592,7,"15,16,0","0.247,0.171,0.114",0.6329039812614726,generalist
Disiz,849,1.9333180993748411,0.6453574361240387,0,0.408716136631331,6,"0,16,1","0.409,0.211,0.065",0.7276207302672691,moderate
Swift Guad,797,1.6600969743917362,0.5541539840014735,0,0.46800501882057716,4,"0,16,6","0.468,0.210,0.107",0.797427854450216,moderate
IAM,745,1.624118009511257,0.5421439104718402,0,0.5395973154362416,3,"0,16,6","0.540,0.146,0.138",0.7846308724792982,specialist
Sinik,744,1.5232606127600565,0.5084768843355065,0,0.5201612903225806,4,"0,16,6","0.520,0.226,0.071",0.8202956989206298,specialist
Lacrim,732,1.77352955264355,0.5920187088479442,0,0.36065573770491804,4,"0,15,16","0.361,0.269,0.165",0.7752732240398396,moderate
Sadek,721,1.9458434291749127,0.6495384939277163,0,0.3592233009708738,4,"0,15,16","0.359,0.198,0.162",0.731692094309795,moderate
Niro,713,1.8907970956140552,0.6311635763668912,15,0.30014025245441794,4,"15,0,16","0.300,0.281,0.182",0.7452314165460635,moderate
Mac Tyer,704,1.7835596734978878,0.5953668454430875,0,0.42329545454545453,3,"0,15,16","0.423,0.195,0.169",0.7681818181779771,moderate
Gims,703,2.0692809555404614,0.690742952502083,0,0.4039829302987198,6,"0,16,14","0.404,0.119,0.101",0.6874110953023951,moderate
Booba,676,1.9026189791727817,0.6351098180464595,15,0.2559171597633136,4,"16,15,0","0.256,0.256,0.254",0.7341715976294649,generalist
Alonzo,666,2.0260182680873746,0.6763015126461235,0,0.2852852852852853,5,"0,15,16","0.285,0.215,0.183",0.7099099099063605,generalist
Vald,659,1.9343404151768595,0.6456986935224529,0,0.3550834597875569,5,"0,16,15","0.355,0.181,0.153",0.7407435508308944,moderate
Jorrdee,656,2.0075073303394206,0.6701224098232956,0,0.27896341463414637,5,"0,15,16","0.279,0.261,0.133",0.7196646341427431,generalist
A2H,649,2.0547622270831636,0.6858964818793682,16,0.26040061633281975,6,"16,0,15","0.260,0.250,0.156",0.7070107858208103,generalist
Kaaris,635,1.7817162859471962,0.5947515075616069,15,0.3228346456692913,4,"15,0,16","0.323,0.260,0.213",0.7722047244055877,moderate
Kekra,634,2.2170387476113054,0.7400657152119667,0,0.22082018927444794,5,"0,15,16","0.221,0.196,0.192",0.6523659305961075,generalist
3010,622,1.8953347146450508,0.6326782708110689,0,0.33762057877813506,5,"0,16,15","0.338,0.225,0.177",0.7498392282920708,moderate
Seth Gueko,613,1.7431005135692916,0.581861246065678,16,0.4078303425774878,4,"16,15,0","0.408,0.199,0.176",0.783442088087437,moderate
Guizmo,594,1.8247455740572482,0.6091150368028245,16,0.32491582491582494,5,"16,0,15","0.325,0.244,0.209",0.7629629629591482,moderate
Lucio Bukowski,590,1.3120660908576824,0.4379784209825637,0,0.5220338983050847,3,"0,6,16","0.522,0.290,0.098",0.8559322033855509,specialist
Jarod,583,1.8556969876988538,0.6194468724995059,16,0.2658662092624357,5,"16,15,0","0.266,0.262,0.242",0.7484562607166696,generalist
VII,580,1.1992828846859653,0.4003304618617319,0,0.6,3,"0,6,16","0.600,0.248,0.066",0.8682758620646241,specialist
Georgio,575,1.3554160413618226,0.45244898996058247,0,0.6643478260869565,3,"0,6,16","0.664,0.075,0.070",0.8232173913002319,specialist
Djadja & Dinaz,568,1.9516491014342776,0.6514764749384417,15,0.31161971830985913,5,"15,9,16","0.312,0.225,0.129",0.7364436619681487,moderate
Hamza,561,2.1444776156315593,0.715844214305391,15,0.24242424242424243,5,"15,0,9","0.242,0.214,0.162",0.6788770053441996,generalist
Dinos,557,1.9503042375054798,0.6510275483301897,0,0.41651705565529623,5,"0,15,9","0.417,0.153,0.102",0.7263016157952913,moderate
Ol’ Kainry,557,1.731060069829609,0.5778420472053611,16,0.362657091561939,4,"16,0,15","0.363,0.336,0.093",0.777827648111012,moderate
Hayce Lemsi,555,1.96603005667881,0.6562769557328992,0,0.3063063063063063,5,"0,15,16","0.306,0.227,0.173",0.7327027026990395,moderate
Kery James,555,1.1502745589725365,0.3839710808362414,0,0.7405405405405405,2,"0,16,6","0.741,0.074,0.041",0.8453153153110887,specialist
Soprano,549,1.6354123345277567,0.5459140487836662,0,0.5373406193078324,3,"0,16,6","0.537,0.191,0.055",0.78169398906713,specialist
Ninho,545,2.0314074545153744,0.6781004672708658,15,0.3779816513761468,5,"15,0,16","0.378,0.191,0.112",0.7063302752258265,moderate
Oxmo Puccino,542,1.6260101307184611,0.5427755160475145,0,0.5018450184501845,3,"0,16,6","0.502,0.155,0.155",0.8003690036860348,specialist
Jok’Air,541,2.005037130081561,0.6692978367198623,0,0.3456561922365989,6,"0,15,16","0.346,0.198,0.129",0.7191312384437244,moderate
Médine,539,1.3073064029098869,0.4363895981128388,0,0.6512059369202227,3,"0,6,16","0.651,0.117,0.102",0.8410946196618428,specialist
Dosseh,535,1.9606370809872917,0.6544767362209198,0,0.36822429906542054,5,"0,15,16","0.368,0.193,0.157",0.7303738317720491,moderate
Mister You,535,1.8314598697213176,0.6113563237573839,16,0.29906542056074764,4,"16,15,0","0.299,0.273,0.207",0.7587850467251781,generalist
PLK,511,2.027670458008092,0.6768530271907651,15,0.25048923679060664,4,"15,0,16","0.250,0.215,0.196",0.709882583166705,generalist
Black M,501,2.1571875410164463,0.7200868916290921,0,0.35728542914171657,6,"0,16,14","0.357,0.168,0.082",0.6635728542880994,moderate
Leto,500,1.9211277765200456,0.6412882063859843,15,0.356,4,"15,0,16","0.356,0.216,0.158",0.742399999996288,moderate
