artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,2.33282378236172,0.7787157093294494,0,0.28943710910354414,3,"0,5,15","0.289,0.254,0.057",0.555177206390553,generalist
La Fouine,1191,2.622912088969542,0.8755495650009627,0,0.24853064651553317,5,"0,5,7","0.249,0.139,0.068",0.43841309823458374,generalist
Rohff,1094,2.6466505727612364,0.8834736655627037,0,0.19926873857404023,5,"0,5,15","0.199,0.155,0.104",0.4422303473469662,generalist
Sexion d’Assaut,1023,2.5315941834533464,0.845066899269335,0,0.23851417399804498,3,"0,5,15","0.239,0.216,0.069",0.46994134897125733,generalist
Alkpote,889,2.5025090091722784,0.8353580295756615,0,0.29471316085489313,4,"0,5,9","0.295,0.154,0.069",0.491057367826566,generalist
Naps,854,2.122099786896847,0.7083743115599884,0,0.3360655737704918,2,"0,5,10","0.336,0.290,0.048",0.6240046838376294,moderate
Disiz,849,2.5391135827611047,0.8475769364225676,5,0.23439340400471143,3,"5,0,4","0.234,0.216,0.058",0.4695524146030704,generalist
Swift Guad,797,2.552049031845662,0.8518948954066697,0,0.24090338770388958,4,"0,5,15","0.241,0.192,0.068",0.4760978669988742,generalist
IAM,745,2.516809946998387,0.8401317998996507,5,0.30335570469798656,4,"5,0,1","0.303,0.134,0.062",0.48127516778282836,moderate
Sinik,744,2.6392504697856576,0.8810034505034655,5,0.23118279569892472,4,"5,0,15","0.231,0.168,0.060",0.4151881720409347,generalist
Lacrim,732,2.4874508055685904,0.8303314777250105,5,0.2527322404371585,4,"5,0,7","0.253,0.193,0.105",0.5121584699427946,generalist
Sadek,721,2.3716585960536567,0.7916790886122933,0,0.3314840499306519,3,"0,5,15","0.331,0.189,0.054",0.5361303744772085,moderate
Niro,713,2.5563943511631435,0.8533453986294849,0,0.24403927068723702,6,"0,5,7","0.244,0.150,0.090",0.4938990182303496,generalist
Mac Tyer,704,2.551868758780702,0.8518347187792217,0,0.26988636363636365,4,"0,5,7","0.270,0.158,0.065",0.4715909090885513,generalist
Gims,703,2.350486737033603,0.7846117484474339,0,0.2887624466571835,3,"0,5,15","0.289,0.252,0.053",0.5387624466544895,generalist
Booba,676,2.6706038532479903,0.8914694670227377,0,0.21153846153846154,6,"0,5,1","0.212,0.148,0.072",0.42233727810439714,generalist
Alonzo,666,2.3916121792624603,0.7983397583206486,0,0.2927927927927928,4,"0,5,10","0.293,0.212,0.065",0.5432432432405272,generalist
Vald,659,2.505599835457836,0.8363897727367053,0,0.26403641881638845,5,"0,5,7","0.264,0.190,0.061",0.497951441575659,generalist
Jorrdee,656,2.207550465693085,0.7368984488971555,5,0.3125,3,"5,0,12","0.312,0.282,0.059",0.591463414631189,moderate
A2H,649,2.3793735221535868,0.7942543942122084,0,0.28197226502311246,3,"0,5,12","0.282,0.234,0.060",0.5436825885951246,generalist
Kaaris,635,2.369721896063892,0.7910326022734233,0,0.31496062992125984,3,"0,5,1","0.315,0.205,0.050",0.5451181102334949,moderate
