window_transition,js_divergence
1992-1993->1994-1995,0.08764268537501253
1994-1995->1996-1997,0.062218558249085
1996-1997->1998-1999,0.04365725350143198
1998-1999->2000-2001,0.02198438721637853
2000-2001->2002-2003,0.023889637727273687
2002-2003->2004-2005,0.021805973812338123
2004-2005->2006-2007,0.01907829360946309
2006-2007->2008-2009,0.014110254537588929
2008-2009->2010-2011,0.016004855314140188
2010-2011->2012-2013,0.011419703600860639
2012-2013->2014-2015,0.019181944334154953
2014-2015->2016-2017,0.009773439336662304
2016-2017->2018-2019,0.018165411240733734
2018-2019->2020-2021,0.011013243697454433
