artist,n_docs,entropy,normalized_entropy,dominant_topic,dominant_ratio,n_significant_topics,top_3_topics,top_3_ratios,gini_coefficient,classification
JuL,2878,1.4720123772781615,0.49136980306048433,3,0.640722724113968,3,"3,6,19","0.641,0.088,0.066",0.7992355802600762,specialist
La Fouine,1191,1.6903966082357034,0.5642682502566557,3,0.5062972292191436,4,"3,6,0","0.506,0.218,0.058",0.7704030226661731,specialist
Rohff,1094,1.4321135561347165,0.478051249364726,3,0.4296160877513711,2,"3,6,19","0.430,0.408,0.027",0.8076782449685393,moderate
Sexion d’Assaut,1023,1.3132784178279033,0.43838310566714755,3,0.4946236559139785,2,"3,6,0","0.495,0.353,0.036",0.8472629520974255,moderate
Alkpote,889,1.3346885734521667,0.44552999119269,3,0.6332958380202475,2,"3,6,0","0.633,0.189,0.036",0.8305399325042839,specialist
Naps,854,1.6814926817415619,0.5612960465745228,3,0.5644028103044496,4,"3,11,6","0.564,0.103,0.087",0.7665105386378537,specialist
Disiz,849,1.6280150444600952,0.5434447726961587,6,0.4134275618374558,3,"6,3,19","0.413,0.345,0.072",0.7871024734942981,moderate
Swift Guad,797,1.3025804378055073,0.43481203220479686,6,0.4918444165621079,2,"6,3,19","0.492,0.365,0.038",0.8456085319907535,moderate
IAM,745,1.0733023727496112,0.35827713384958043,6,0.7221476510067114,2,"6,3,14","0.722,0.158,0.027",0.8628859060359538,specialist
Sinik,744,1.3346903925333202,0.44553059841689674,6,0.5443548387096774,4,"6,3,19","0.544,0.266,0.060",0.8524193548344476,specialist
Lacrim,732,1.420671969990128,0.4742319540807003,3,0.5846994535519126,3,"3,6,19","0.585,0.212,0.051",0.8262295081925902,specialist
Sadek,721,1.6043073869214919,0.5355309621904963,3,0.5062413314840499,3,"3,6,19","0.506,0.250,0.068",0.7909153952803731,specialist
Niro,713,1.535397853713601,0.5125283948996149,3,0.5624123422159888,2,"3,6,0","0.562,0.209,0.049",0.7986676016790362,specialist
Mac Tyer,704,1.6218896754345853,0.5414000742831583,6,0.4161931818181818,4,"6,3,0","0.416,0.330,0.078",0.7963068181778366,moderate
Gims,703,1.9263553215404923,0.6430332037833134,6,0.33001422475106684,4,"6,3,19","0.330,0.276,0.125",0.7278093883320651,moderate
Booba,676,1.4115986371113542,0.47120320115812697,3,0.5384615384615384,2,"3,6,19","0.538,0.283,0.037",0.8260355029544495,specialist
Alonzo,666,1.6873541887801418,0.5632526656924342,3,0.46546546546546547,3,"3,6,0","0.465,0.263,0.065",0.7798798798759806,moderate
Vald,659,1.4513754925647444,0.48448104170634154,3,0.5462822458270106,3,"3,6,19","0.546,0.258,0.055",0.8190440060657072,specialist
Jorrdee,656,1.8038856055300565,0.6021518082422013,3,0.47865853658536583,3,"3,6,19","0.479,0.218,0.056",0.7417682926792177,moderate
A2H,649,1.739014063575714,0.5804971555460904,3,0.5192604006163328,3,"3,6,19","0.519,0.163,0.086",0.7607858243413429,specialist
Kaaris,635,1.465209786336684,0.48909904241824337,3,0.5622047244094488,2,"3,6,0","0.562,0.236,0.033",0.8122047244053879,specialist
Kekra,634,1.8679139471641641,0.623524993756589,3,0.49842271293375395,4,"3,6,19","0.498,0.156,0.057",0.7184542586714865,moderate
3010,622,1.4046440736337162,0.46888171083703517,3,0.5530546623794212,2,"3,6,19","0.553,0.275,0.039",0.8202572347225868,specialist
Seth Gueko,613,1.1650925802616041,0.38891745786061016,3,0.6982055464926591,2,"3,6,0","0.698,0.155,0.041",0.8534257748733837,specialist
Guizmo,594,1.3746392873838467,0.4588658671267181,3,0.6397306397306397,4,"3,6,19","0.640,0.143,0.052",0.8274410774369404,specialist
Lucio Bukowski,590,0.75118154355746,0.25075055945045943,6,0.8152542372881356,2,"6,3,14","0.815,0.112,0.020",0.9061016949107241,specialist
Jarod,583,1.2988456215172512,0.4335653198996865,3,0.6346483704974271,4,"3,6,11","0.635,0.154,0.075",0.8487993138894092,specialist
VII,580,0.6256848709193357,0.2088587409638758,6,0.8620689655172413,2,"6,3,14","0.862,0.067,0.028",0.9155172413747328,specialist
Georgio,575,1.3033874467071807,0.4350814183942096,6,0.5982608695652174,3,"6,3,19","0.598,0.181,0.117",0.8548695652131169,specialist
Djadja & Dinaz,568,1.5451810000542268,0.5157940893767183,3,0.6126760563380281,4,"3,6,19","0.613,0.079,0.074",0.7874999999960626,specialist
Hamza,561,2.1253748664656618,0.7094675599779885,3,0.4028520499108734,4,"3,6,19","0.403,0.128,0.119",0.6615864527596156,moderate
Dinos,557,1.8853271220392314,0.6293376543300283,6,0.32854578096947934,4,"6,3,19","0.329,0.282,0.167",0.7388689407503455,moderate
Ol’ Kainry,557,1.4295022500062549,0.47717957396451954,3,0.4757630161579892,2,"3,6,19","0.476,0.352,0.036",0.8180430879671843,moderate
Hayce Lemsi,555,1.4792898679263127,0.4937990891193208,3,0.4990990990990991,2,"3,6,0","0.499,0.310,0.031",0.8103603603563085,moderate
Kery James,555,1.1567360617010627,0.38612798343583865,6,0.7351351351351352,2,"6,3,0","0.735,0.086,0.040",0.8467567567525234,specialist
Soprano,549,1.5854371327975727,0.5292319166147271,6,0.5537340619307832,3,"6,3,19","0.554,0.191,0.062",0.7935336976280906,specialist
Ninho,545,1.549939240720665,0.5173824291320575,3,0.618348623853211,2,"3,6,19","0.618,0.130,0.046",0.7755045871520856,specialist
Oxmo Puccino,542,1.3502425872932744,0.4507220485665805,6,0.5553505535055351,2,"6,3,19","0.555,0.266,0.042",0.8440959409551893,specialist
Jok’Air,541,2.032127792881918,0.6783409221248935,3,0.33271719038817005,4,"3,6,19","0.333,0.237,0.129",0.7071164510131003,moderate
Médine,539,1.0009261695980505,0.33411736370239803,6,0.7439703153988868,2,"6,3,14","0.744,0.134,0.032",0.8807977736505123,specialist
Dosseh,535,1.5005406798310865,0.5008927844045683,3,0.4897196261682243,2,"3,6,11","0.490,0.321,0.034",0.8012149532670222,moderate
Mister You,535,1.3156922601888494,0.43918886604241714,3,0.6429906542056075,2,"3,6,0","0.643,0.159,0.047",0.8404672897154241,specialist
PLK,511,1.598713413610865,0.5336636480249383,3,0.6007827788649707,3,"3,6,19","0.601,0.125,0.055",0.7697651663366601,specialist
Black M,501,1.8561893428434657,0.6196112246844319,3,0.3413173652694611,4,"3,6,19","0.341,0.271,0.168",0.7498003991978478,moderate
Leto,500,1.6494646989893798,0.5506048432801157,3,0.572,4,"3,6,19","0.572,0.106,0.102",0.7697999999961511,specialist
Hooss,486,1.5721399612241551,0.5247932116974675,3,0.6090534979423868,5,"3,6,11","0.609,0.078,0.066",0.7788065843582457,specialist
Youssoupha,484,1.4360888734374184,0.479378242880734,6,0.609504132231405,3,"6,3,19","0.610,0.171,0.052",0.8181818181777272,specialist
Lord Esperanza,471,1.2248904503560625,0.4088784772822546,6,0.6411889596602972,3,"6,3,19","0.641,0.187,0.072",0.8608280254734026,specialist
KIK,469,1.7610194844769642,0.5878427455026802,3,0.44136460554371004,4,"3,6,19","0.441,0.194,0.154",0.7743070362434632,moderate
Beeby,469,1.2662989220873642,0.42270096472442403,3,0.5479744136460555,2,"3,6,19","0.548,0.324,0.026",0.8423240938124197,specialist
Nekfeu,465,1.5692098152338345,0.5238151049366639,6,0.5161290322580645,3,"6,3,19","0.516,0.267,0.056",0.7859139784906942,specialist
Akhenaton,464,1.0173914572807585,0.33961361175769383,6,0.7155172413793104,2,"6,3,14","0.716,0.175,0.032",0.8810344827542156,specialist
GLK,462,1.5814833697194344,0.5279121180756382,3,0.5735930735930735,4,"3,6,0","0.574,0.121,0.071",0.7961038960999155,specialist
YL,461,1.477214432487439,0.4931062917498111,3,0.5986984815618221,2,"3,6,19","0.599,0.176,0.041",0.8074837310154854,specialist
RK,460,1.5617181969754597,0.5213143413255396,3,0.6130434782608696,3,"3,6,19","0.613,0.074,0.067",0.7819565217352207,specialist
Luv Resval,459,1.7162330139583843,0.5728926543633784,3,0.45751633986928103,3,"3,6,19","0.458,0.272,0.050",0.7641612200397523,moderate
13 Block,450,1.540910400526675,0.5143685282325359,3,0.5533333333333333,3,"3,6,0","0.553,0.202,0.082",0.799999999996,specialist
