topic,rank,artist,n_docs,pct_of_topic,total_topic_docs
0,1,JuL,137,3.7441924022957087,3659
0,2,La Fouine,69,1.8857611369226566,3659
0,3,Naps,57,1.557802678327412,3659
0,4,Mac Tyer,55,1.5031429352282044,3659
0,5,Alonzo,43,1.1751844766329598,3659
0,6,Sinik,38,1.0385351188849412,3659
0,7,Sexion d’Assaut,37,1.0112052473353375,3659
0,8,13 Block,37,1.0112052473353375,3659
0,9,Hornet La Frappe,37,1.0112052473353375,3659
0,10,Benab,37,1.0112052473353375,3659
0,11,Niro,35,0.95654550423613,3659
0,12,Elams,35,0.95654550423613,3659
0,13,Rim’K,35,0.95654550423613,3659
0,14,Maes,34,0.9292156326865263,3659
0,15,GLK,33,0.9018857611369226,3659
0,16,Alkpote,32,0.8745558895873189,3659
0,17,Guizmo,30,0.8198961464881116,3659
0,18,Jok’Air,30,0.8198961464881116,3659
0,19,Hooss,30,0.8198961464881116,3659
0,20,Rohff,29,0.7925662749385078,3659
1,1,Freeze Corleone,63,6.7596566523605155,932
1,2,Retro X,33,3.5407725321888415,932
1,3,Jorrdee,26,2.7896995708154506,932
1,4,Alkpote,19,2.03862660944206,932
1,5,Hamza,16,1.7167381974248928,932
1,6,MZ,16,1.7167381974248928,932
1,7,Gradur,16,1.7167381974248928,932
1,8,Kekra,14,1.502145922746781,932
1,9,Alpha 5.20,14,1.502145922746781,932
1,10,JuL,13,1.3948497854077253,932
1,11,Youri,13,1.3948497854077253,932
1,12,Naps,12,1.2875536480686696,932
1,13,Kaaris,11,1.1802575107296138,932
1,14,Jok’Air,11,1.1802575107296138,932
1,15,Luv Resval,11,1.1802575107296138,932
1,16,La Fouine,10,1.0729613733905579,932
1,17,667,10,1.0729613733905579,932
1,18,RK,9,0.9656652360515022,932
1,19,Busta Flex,9,0.9656652360515022,932
1,20,Disiz,8,0.8583690987124464,932
2,1,JuL,9,2.3017902813299234,391
2,2,Alonzo,7,1.7902813299232736,391
2,3,Jorrdee,7,1.7902813299232736,391
2,4,Kekra,7,1.7902813299232736,391
2,5,PLK,7,1.7902813299232736,391
2,6,TLF,6,1.5345268542199488,391
2,7,La Fouine,5,1.278772378516624,391
2,8,Rohff,5,1.278772378516624,391
2,9,Alkpote,5,1.278772378516624,391
2,10,Dosseh,5,1.278772378516624,391
2,11,Lefa,5,1.278772378516624,391
2,12,Niska,5,1.278772378516624,391
2,13,Sultan,5,1.278772378516624,391
2,14,Naza,5,1.278772378516624,391
2,15,Gradur,5,1.278772378516624,391
2,16,Sam’s,5,1.278772378516624,391
2,17,El Matador,5,1.278772378516624,391
2,18,Benash,5,1.278772378516624,391
2,19,Al Peco,5,1.278772378516624,391
2,20,Disiz,4,1.0230179028132993,391
3,1,JuL,1844,3.8726478494623655,47616
3,2,La Fouine,603,1.2663810483870968,47616
3,3,Alkpote,563,1.1823756720430108,47616
3,4,Sexion d’Assaut,506,1.062668010752688,47616
3,5,Naps,482,1.0122647849462365,47616
3,6,Rohff,470,0.9870631720430108,47616
3,7,Lacrim,428,0.8988575268817205,47616
3,8,Seth Gueko,428,0.8988575268817205,47616
3,9,Niro,401,0.8421538978494623,47616
3,10,Guizmo,380,0.7980510752688172,47616
3,11,Jarod,370,0.7770497311827957,47616
3,12,Sadek,365,0.766549059139785,47616
3,13,Booba,364,0.7644489247311828,47616
3,14,Vald,360,0.7560483870967742,47616
3,15,Kaaris,357,0.7497479838709677,47616
3,16,Djadja & Dinaz,348,0.7308467741935484,47616
3,17,3010,344,0.7224462365591398,47616
3,18,Mister You,344,0.7224462365591398,47616
3,19,A2H,337,0.7077452956989247,47616
3,20,Ninho,337,0.7077452956989247,47616
4,1,La Fouine,13,3.1630170316301705,411
4,2,Black M,12,2.9197080291970803,411
4,3,JuL,11,2.67639902676399,411
4,4,Kekra,7,1.70316301703163,411
4,5,Timal,7,1.70316301703163,411
4,6,Rohff,6,1.4598540145985401,411
4,7,Naps,6,1.4598540145985401,411
4,8,Thabiti,6,1.4598540145985401,411
4,9,IAM,5,1.2165450121654502,411
4,10,Hamza,5,1.2165450121654502,411
4,11,Youssoupha,5,1.2165450121654502,411
4,12,Koba LaD,5,1.2165450121654502,411
4,13,Still Fresh,5,1.2165450121654502,411
4,14,H Magnum,5,1.2165450121654502,411
4,15,Dibson,5,1.2165450121654502,411
4,16,Niro,4,0.9732360097323601,411
4,17,Jorrdee,4,0.9732360097323601,411
4,18,A2H,4,0.9732360097323601,411
4,19,Dinos,4,0.9732360097323601,411
4,20,Ninho,4,0.9732360097323601,411
5,1,Freeze Corleone,9,3.3962264150943398,265
5,2,Mac Tyer,8,3.018867924528302,265
5,3,Fababy,8,3.018867924528302,265
5,4,La Fouine,7,2.6415094339622645,265
5,5,Sadek,6,2.2641509433962264,265
5,6,Gims,6,2.2641509433962264,265
