window_transition,js_divergence
1992-1993->1994-1995,0.07232086408122462
1994-1995->1996-1997,0.06248060165298465
1996-1997->1998-1999,0.03633731033085454
1998-1999->2000-2001,0.021455067741998943
2000-2001->2002-2003,0.03213636958096109
2002-2003->2004-2005,0.028184248523921193
2004-2005->2006-2007,0.02065677135690313
2006-2007->2008-2009,0.014435551778362555
2008-2009->2010-2011,0.018776942214159188
2010-2011->2012-2013,0.013735767822118218
2012-2013->2014-2015,0.01887870032730395
2014-2015->2016-2017,0.012716880773243136
2016-2017->2018-2019,0.017172920649088656
2018-2019->2020-2021,0.010918176803853213
