topic,rank,artist,n_docs,pct_of_topic,total_topic_docs
0,1,JuL,766,2.8225063561664028,27139
0,2,La Fouine,283,1.042779763440068,27139
0,3,Naps,254,0.9359224731935591,27139
0,4,Alkpote,248,0.9138140683149711,27139
0,5,Rohff,236,0.869597258557795,27139
0,6,Sexion d’Assaut,236,0.869597258557795,27139
0,7,Kekra,232,0.8548583219720697,27139
0,8,Sadek,227,0.836434651239913,27139
0,9,Gims,208,0.7664247024577177,27139
0,10,Hamza,195,0.7185231585541103,27139
0,11,Alonzo,193,0.7111536902612476,27139
0,12,Kaaris,193,0.7111536902612476,27139
0,13,Leto,190,0.7000994878219536,27139
0,14,Disiz,184,0.6779910829433656,27139
0,15,Swift Guad,175,0.6448284756254836,27139
0,16,Mac Tyer,174,0.6411437414790523,27139
0,17,A2H,174,0.6411437414790523,27139
0,18,Jok’Air,174,0.6411437414790523,27139
0,19,Ninho,166,0.6116658683076016,27139
0,20,Niro,165,0.6079811341611703,27139
1,1,JuL,202,3.043543769775501,6637
1,2,Naps,85,1.2806991110441466,6637
1,3,Alkpote,73,1.0998945306614434,6637
1,4,13 Block,68,1.0245592888353172,6637
1,5,Jorrdee,65,0.9793581437396414,6637
1,6,Rohff,64,0.9642910953744162,6637
1,7,3010,61,0.9190899502787404,6637
1,8,Sexion d’Assaut,59,0.8889558535482898,6637
1,9,La Fouine,57,0.8588217568178393,6637
1,10,Jarod,57,0.8588217568178393,6637
1,11,Kekra,51,0.7684194666264879,6637
1,12,Guizmo,51,0.7684194666264879,6637
1,13,Seth Gueko,50,0.7533524182612626,6637
1,14,Kaaris,49,0.7382853698960374,6637
1,15,Niro,47,0.7081512731655869,6637
1,16,Djadja & Dinaz,45,0.6780171764351364,6637
1,17,Mister You,45,0.6780171764351364,6637
1,18,A2H,43,0.6478830797046858,6637
1,19,Freeze Corleone,42,0.6328160313394605,6637
1,20,Alonzo,40,0.6026819346090101,6637
2,1,JuL,175,3.221649484536082,5432
2,2,Lacrim,97,1.7857142857142856,5432
2,3,La Fouine,63,1.1597938144329898,5432
2,4,Alkpote,63,1.1597938144329898,5432
2,5,Niro,63,1.1597938144329898,5432
2,6,Mac Tyer,56,1.0309278350515463,5432
2,7,Sexion d’Assaut,54,0.9941089837997054,5432
2,8,Sadek,54,0.9941089837997054,5432
2,9,Vald,54,0.9941089837997054,5432
2,10,Disiz,52,0.9572901325478645,5432
2,11,Guizmo,52,0.9572901325478645,5432
2,12,Rohff,51,0.938880706921944,5432
2,13,Swift Guad,47,0.8652430044182622,5432
2,14,Ninho,46,0.8468335787923417,5432
2,15,Sinik,43,0.7916053019145802,5432
2,16,Booba,43,0.7916053019145802,5432
2,17,Hooss,43,0.7916053019145802,5432
2,18,Gradur,42,0.7731958762886598,5432
2,19,Dosseh,40,0.7363770250368188,5432
2,20,Les Sages Poètes de la Rue,39,0.7179675994108984,5432
3,1,Rohff,63,2.3350630096367677,2698
3,2,JuL,44,1.630837657524092,2698
3,3,La Fouine,44,1.630837657524092,2698
3,4,Swift Guad,28,1.0378057820607858,2698
3,5,Niro,27,1.000741289844329,2698
3,6,MC Solaar,25,0.9266123054114159,2698
3,7,Booba,23,0.8524833209785025,2698
3,8,Alonzo,23,0.8524833209785025,2698
3,9,Seth Gueko,23,0.8524833209785025,2698
3,10,Kaaris,22,0.815418828762046,2698
3,11,Freeze Corleone,22,0.815418828762046,2698
3,12,Alkpote,21,0.7783543365455894,2698
3,13,Sadek,20,0.7412898443291327,2698
3,14,Hamza,20,0.7412898443291327,2698
3,15,Sefyu,20,0.7412898443291327,2698
3,16,Sinik,19,0.7042253521126761,2698
3,17,Lacrim,19,0.7042253521126761,2698
3,18,Mac Tyer,19,0.7042253521126761,2698
3,19,Kekra,18,0.6671608598962194,2698
3,20,OrelSan,18,0.6671608598962194,2698
4,1,JuL,72,1.9047619047619049,3780
4,2,La Fouine,50,1.3227513227513228,3780
4,3,Manu Key,40,1.0582010582010581,3780
4,4,Swift Guad,37,0.9788359788359788,3780
4,5,Vald,35,0.9259259259259258,3780
4,6,Disiz,34,0.8994708994708994,3780
4,7,IAM,34,0.8994708994708994,3780
4,8,Rohff,33,0.873015873015873,3780
4,9,Booba,33,0.873015873015873,3780
4,10,Bigflo & Oli,33,0.873015873015873,3780
4,11,MC Solaar,31,0.82010582010582,3780
4,12,Naps,30,0.7936507936507936,3780
4,13,Sexion d’Assaut,28,0.7407407407407408,3780
4,14,Sinik,28,0.7407407407407408,3780
4,15,Ninho,28,0.7407407407407408,3780
4,16,Niro,27,0.7142857142857143,3780
