window_transition,js_divergence
1992-1993->1994-1995,0.07858209062091985
1994-1995->1996-1997,0.04374633092217442
1996-1997->1998-1999,0.02963980576318108
1998-1999->2000-2001,0.01825717775153305
2000-2001->2002-2003,0.028080718167393996
2002-2003->2004-2005,0.018161013709393752
2004-2005->2006-2007,0.020317052206708378
2006-2007->2008-2009,0.01734986081442763
2008-2009->2010-2011,0.022644760291260606
2010-2011->2012-2013,0.02323052664611429
2012-2013->2014-2015,0.04286343719714697
2014-2015->2016-2017,0.037651368703495565
2016-2017->2018-2019,0.028878882361583785
2018-2019->2020-2021,0.010943231452153871
