topic,rank,artist,n_docs,pct_of_topic,total_topic_docs
0,1,JuL,537,1.27287380297715,42188
0,2,Rohff,449,1.0642836825637623,42188
0,3,Sexion d’Assaut,411,0.9742106760216175,42188
0,4,IAM,408,0.967099649189343,42188
0,5,Kery James,403,0.9552479378022185,42188
0,6,Sinik,388,0.9196928036408458,42188
0,7,Swift Guad,375,0.8888783540343226,42188
0,8,Georgio,373,0.8841376694794728,42188
0,9,La Fouine,363,0.8604342467052242,42188
0,10,Disiz,352,0.8343604816535507,42188
0,11,Keny Arkana,350,0.8296197970987012,42188
0,12,Médine,346,0.8201384279890016,42188
0,13,VII,341,0.8082867166018773,42188
0,14,Scylla,322,0.763250213330805,42188
0,15,Lucio Bukowski,306,0.7253247368920073,42188
0,16,Mac Tyer,302,0.7158433677823077,42188
0,17,Soprano,298,0.7063619986726083,42188
0,18,Lord Esperanza,288,0.6826585758983597,42188
0,19,Gims,279,0.661325495401536,42188
0,20,Oxmo Puccino,268,0.6352517303498625,42188
1,1,JuL,101,2.302781577747378,4386
1,2,La Fouine,71,1.6187870497036023,4386
1,3,Naps,71,1.6187870497036023,4386
1,4,Disiz,51,1.1627906976744187,4386
1,5,Vegedream,51,1.1627906976744187,4386
1,6,Gims,47,1.0715914272685818,4386
1,7,Jarod,42,0.957592339261286,4386
1,8,Sinik,41,0.9347925216598267,4386
1,9,Hooss,41,0.9347925216598267,4386
1,10,KIK,41,0.9347925216598267,4386
1,11,KeBlack,41,0.9347925216598267,4386
1,12,Dinos,38,0.8663930688554491,4386
1,13,Bigflo & Oli,36,0.8207934336525308,4386
1,14,​DA Uzi,35,0.7979936160510716,4386
1,15,Guizmo,34,0.7751937984496124,4386
1,16,Black M,34,0.7751937984496124,4386
1,17,Dadju,34,0.7751937984496124,4386
1,18,Zamdane,33,0.7523939808481532,4386
1,19,Lacrim,30,0.6839945280437756,4386
1,20,Niro,30,0.6839945280437756,4386
2,1,Kalash,11,4.8034934497816595,229
2,2,JuL,10,4.366812227074235,229
2,3,Neg’ Marrons,6,2.6200873362445414,229
2,4,Kekra,5,2.1834061135371177,229
2,5,Naza,5,2.1834061135371177,229
2,6,Ninho,4,1.7467248908296942,229
2,7,Jok’Air,4,1.7467248908296942,229
2,8,Benab,4,1.7467248908296942,229
2,9,S.Pri Noir,4,1.7467248908296942,229
2,10,Suprême NTM,4,1.7467248908296942,229
