topic,rank,artist,n_docs,pct_of_topic,total_topic_docs
0,1,JuL,837,2.885908354308175,29003
0,2,La Fouine,298,1.027479915870772,29003
0,3,Naps,292,1.0067924007861255,29003
0,4,Alkpote,263,0.9068027445436678,29003
0,5,Sexion d’Assaut,250,0.8619797951936006,29003
0,6,Kekra,244,0.8412922801089542,29003
0,7,Sadek,242,0.8343964417474055,29003
0,8,Rohff,225,0.7757818156742406,29003
0,9,Hamza,212,0.7309588663241734,29003
0,10,Gims,208,0.7171671896010758,29003
0,11,Kaaris,199,0.6861359169741061,29003
0,12,Leto,199,0.6861359169741061,29003
0,13,Alonzo,197,0.6792400786125573,29003
0,14,Swift Guad,193,0.6654484018894598,29003
0,15,Mac Tyer,190,0.6551046443471366,29003
0,16,Jorrdee,189,0.6516567251663621,29003
0,17,Jok’Air,189,0.6516567251663621,29003
0,18,A2H,187,0.6447608868048132,29003
0,19,Djadja & Dinaz,186,0.6413129676240389,29003
0,20,Disiz,183,0.6309692100817157,29003
1,1,JuL,105,2.197112366603892,4779
1,2,La Fouine,80,1.6739903745553464,4779
1,3,Rohff,55,1.1508683825068005,4779
1,4,Swift Guad,50,1.0462439840970914,4779
1,5,Booba,50,1.0462439840970914,4779
1,6,IAM,47,0.983469345051266,4779
1,7,Niro,47,0.983469345051266,4779
1,8,Mac Tyer,46,0.962544465369324,4779
1,9,Youssoupha,44,0.9206947060054405,4779
1,10,Demi Portion,43,0.8997698263234986,4779
1,11,Alkpote,39,0.8160703075957313,4779
1,12,Sinik,39,0.8160703075957313,4779
1,13,Kaaris,36,0.7532956685499058,4779
1,14,Sexion d’Assaut,35,0.732370788867964,4779
1,15,Oxmo Puccino,33,0.6905210295040803,4779
1,16,Lacrim,32,0.6695961498221386,4779
1,17,Mister You,32,0.6695961498221386,4779
1,18,​DA Uzi,32,0.6695961498221386,4779
1,19,Disiz,31,0.6486712701401968,4779
1,20,Sadek,31,0.6486712701401968,4779
2,1,Rohff,87,1.9158775600088087,4541
2,2,JuL,74,1.6295970050649637,4541
2,3,La Fouine,53,1.1671438009249064,4541
2,4,Busta Flex,53,1.1671438009249064,4541
2,5,Guizmo,45,0.9909711517286941,4541
2,6,Niro,44,0.9689495705791676,4541
2,7,Mafia K’1 Fry,44,0.9689495705791676,4541
2,8,Manu Key,44,0.9689495705791676,4541
2,9,Disiz,41,0.9028848271305879,4541
2,10,IAM,41,0.9028848271305879,4541
2,11,Swift Guad,40,0.8808632459810615,4541
2,12,Sexion d’Assaut,34,0.7487337590839022,4541
2,13,Alkpote,32,0.7046905967848491,4541
2,14,Booba,32,0.7046905967848491,4541
2,15,Alonzo,31,0.6826690156353227,4541
2,16,A2H,29,0.6386258533362695,4541
2,17,Hayce Lemsi,28,0.6166042721867431,4541
2,18,Sofiane,28,0.6166042721867431,4541
2,19,Vald,27,0.5945826910372164,4541
2,20,Dinos,27,0.5945826910372164,4541
3,1,JuL,42,1.3636363636363635,3080
3,2,Alkpote,42,1.3636363636363635,3080
3,3,Nakk Mendosa,40,1.2987012987012987,3080
3,4,La Fouine,39,1.2662337662337664,3080
3,5,Rohff,38,1.2337662337662338,3080
3,6,Soprano,36,1.1688311688311688,3080
3,7,Sexion d’Assaut,35,1.1363636363636365,3080
3,8,IAM,33,1.0714285714285714,3080
3,9,Disiz,32,1.0389610389610389,3080
3,10,Swift Guad,30,0.974025974025974,3080
3,11,Sinik,28,0.9090909090909091,3080
3,12,Kery James,28,0.9090909090909091,3080
3,13,Médine,25,0.8116883116883116,3080
3,14,Mac Tyer,24,0.7792207792207793,3080
3,15,Beeby,24,0.7792207792207793,3080
3,16,Black Kent,24,0.7792207792207793,3080
3,17,Oxmo Puccino,22,0.7142857142857143,3080
3,18,Assassin (FRA),22,0.7142857142857143,3080
3,19,Jarod,21,0.6818181818181818,3080
3,20,MC Solaar,20,0.6493506493506493,3080
4,1,JuL,79,2.237960339943343,3530
4,2,Disiz,50,1.41643059490085,3530
4,3,La Fouine,37,1.048158640226629,3530
