window_transition,js_divergence
1992-1993->1994-1995,0.05872896395710551
1994-1995->1996-1997,0.06879066194921009
1996-1997->1998-1999,0.03368958622717138
1998-1999->2000-2001,0.01630106627268204
2000-2001->2002-2003,0.025698807756828892
2002-2003->2004-2005,0.01572142408819752
2004-2005->2006-2007,0.024524157208263068
2006-2007->2008-2009,0.018523579135416218
2008-2009->2010-2011,0.024964730356570264
2010-2011->2012-2013,0.018219785633762975
2012-2013->2014-2015,0.04238192513339973
2014-2015->2016-2017,0.03313160191665241
2016-2017->2018-2019,0.030442683854917833
2018-2019->2020-2021,0.0139471268233314
