,LDA_T0,LDA_T1,LDA_T2,LDA_T3,LDA_T4,LDA_T5,LDA_T6,LDA_T7,LDA_T8,LDA_T9,LDA_T10,LDA_T11,LDA_T12,LDA_T13,LDA_T14,LDA_T15,LDA_T16,LDA_T17,LDA_T18,LDA_T19
BERTopic_T0,64,439,314,74,48,1269,1323,273,582,461,40,430,1098,480,9,206,257,424,1104,1140
BERTopic_T1,184,328,293,87,73,868,792,359,179,864,48,115,1248,654,42,256,261,190,293,1670
BERTopic_T2,595,31,920,165,39,54,65,65,45,654,452,77,83,98,1039,1015,1243,754,36,89
BERTopic_T3,103,317,266,160,70,851,627,123,290,358,26,221,808,188,3,142,153,214,2144,366
BERTopic_T4,190,125,477,139,22,322,376,325,106,1627,90,125,617,479,120,401,332,160,137,1063
BERTopic_T5,215,76,429,71,11,468,552,193,176,1239,68,168,604,365,56,421,439,298,164,945
BERTopic_T6,372,88,604,278,49,127,122,221,117,761,578,192,126,153,641,437,573,431,55,232
BERTopic_T7,165,11,635,50,22,38,64,28,104,248,483,147,26,18,210,695,853,2142,39,26
BERTopic_T8,28,94,508,156,31,615,470,84,158,667,48,315,497,148,18,313,218,212,1092,228
BERTopic_T9,29,13,246,16,6,62,304,25,980,98,91,779,87,7,3,121,134,2367,91,31
BERTopic_T10,31,12,408,33,14,32,133,19,271,126,320,410,17,12,16,292,353,2736,54,21
BERTopic_T11,32,36,384,22,15,279,641,53,651,314,87,607,245,53,15,180,249,935,347,150
BERTopic_T12,319,296,189,240,235,294,190,408,108,340,170,178,272,356,295,135,167,161,141,650
BERTopic_T13,133,270,131,119,61,388,316,311,65,529,36,43,779,365,31,87,118,63,171,1075
BERTopic_T14,44,22,574,46,10,203,304,65,178,786,143,436,141,69,31,600,363,777,102,176
BERTopic_T15,207,63,390,265,32,160,159,174,60,1057,85,86,208,272,235,331,285,75,67,464
BERTopic_T16,491,28,524,63,26,84,129,87,55,707,96,67,136,116,198,504,576,334,35,208
BERTopic_T17,33,24,426,50,6,41,133,104,106,1005,459,111,44,38,94,541,396,646,37,104
BERTopic_T18,152,328,113,196,87,411,194,342,64,303,63,99,358,260,94,85,93,63,187,803
BERTopic_T19,12,7,4,0,461,1,1,6,2,1,7,6,0,3,0,5,4,3,9,1
