,LDA_T0,LDA_T1,LDA_T2,LDA_T3,LDA_T4,LDA_T5,LDA_T6,LDA_T7,LDA_T8,LDA_T9,LDA_T10,LDA_T11,LDA_T12,LDA_T13,LDA_T14,LDA_T15,LDA_T16,LDA_T17,LDA_T18,LDA_T19
BERTopic_T0,1770,584,468,282,332,110,116,448,434,260,247,738,180,278,206,144,826,630,578,418
BERTopic_T1,3061,511,339,165,229,191,109,191,274,210,275,395,137,136,148,118,761,428,296,393
BERTopic_T2,1405,536,366,232,246,163,98,152,371,182,171,443,140,178,136,131,954,468,365,490
BERTopic_T3,1176,327,381,163,346,81,115,168,388,198,184,553,145,247,118,157,1008,410,438,495
BERTopic_T4,2256,414,148,84,121,244,112,107,220,124,121,305,125,128,115,131,847,670,112,414
BERTopic_T5,1359,462,380,237,222,90,79,169,318,166,210,501,122,182,100,106,556,313,403,339
BERTopic_T6,1327,441,304,123,166,154,85,159,311,141,144,396,100,135,102,88,765,441,290,398
BERTopic_T7,905,229,288,104,226,77,79,168,295,163,127,357,93,185,96,128,983,550,263,269
BERTopic_T8,2374,297,168,46,146,173,92,120,144,97,106,211,76,77,107,106,505,369,109,205
BERTopic_T9,803,257,225,106,195,137,79,116,274,141,128,335,109,194,89,120,1064,588,272,238
BERTopic_T10,1320,190,174,73,133,204,66,108,172,101,113,274,97,96,81,109,1096,704,111,212
BERTopic_T11,1175,355,240,96,149,150,65,120,227,130,147,339,100,104,77,87,733,411,237,272
BERTopic_T12,1112,352,312,167,173,69,70,141,284,131,170,357,100,164,72,101,446,248,314,294
BERTopic_T13,1413,342,355,147,162,111,56,116,228,136,176,352,92,105,80,90,346,209,235,222
BERTopic_T14,763,157,167,72,166,198,95,88,216,85,110,251,67,94,79,102,1272,600,168,208
BERTopic_T15,905,330,247,145,180,98,61,109,253,125,106,291,85,180,76,85,563,315,251,386
BERTopic_T16,839,269,244,124,191,113,78,141,260,127,142,367,109,128,88,94,566,436,255,212
BERTopic_T17,784,214,143,78,170,155,68,95,223,107,122,271,80,114,77,92,962,610,174,197
BERTopic_T18,1052,447,270,140,148,81,50,107,204,135,147,313,97,116,56,74,324,201,262,237
BERTopic_T19,1267,244,240,105,95,70,45,101,133,119,214,232,53,87,56,63,272,151,144,161
